Physical Chip 0
0004 0C20 1809 0100 0110 1804 0A22 1008 0900 0400 000A 0102 0C10 0200 0200 0000
1200 0800 041C 0000 0412 0008 0308 1506 0117 0D08 0D11 0C00 0010 040C 0520 0C10
0020 120C 2102 2801 1407 0006 0E01 0308 0206 0400 2010 0B00 0621 0006 0102 0000
0402 0610 080D 0808 0500 0708 0004 0400 0408 0A40 0011 0502 0800 1022 2500 020C
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0040 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0010 8000 0008 1042 3008 0000 0020 0403 0410 0000 0018 0000 0200 8008
0200 6000 4008 0000 0800 0040 1020 0000 000A 0005 2001 0020 0100 1800 0400 8008
0090 0040 208A 4900 0002 0080 0020 1C01 4808 0200 0008 2002 0069 0030 0000 0004
0010 0012 0000 0100 0400 0004 8044 011D 4800 4105 0000 0200 1000 0010 1002 0000
8001 8000 0A00 8000 0000 0200 0000 0448 0040 0D14 0001 0084 0018 0602 A220 0800
8012 0000 0120 0100 0400 0C40 00A1 2145 0000 0400 0030 0000 1941 0500 0000 4042
