Virtual Chip 0
FFFF FFEF FFF7 FFFF FFFF FFFF FFFF F7F7 FFFF F7FF FFF7 DEFD FFFF FFFB FFFF FFFF
FFFF FFFE FFFF F7F7 FFFF FFFF FCFF FFFF FFFF FAFF FFFB FFFF FFFF FFFF FFFF FDFF
FFFF EDFF FDFF FFFF FFFF FFFF FFFD FFF7 FFFF FDFF FBFF FFFF FFFF EFFB FFFF FFFF
FFFF FDFB FFFF FFDF FFEF FDFF F7FF FFFF FFFF FFFF FFFB FFFF EFFF FFFF FBFF FFFE
FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF
FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF
FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF
FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF
FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF
FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF
FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF
FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF
FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF
FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF
FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF
FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF
FFDF FFFF FFFF FFFF FBFF FFEF FFFF FFFF FFFF FFFF FFFF FFFF FFFB FFFF FFFF FFFF
FFFF FFFF FFFE FFFF FFDF FFFF FBEF FFFF FFFF FFFF FFDF FFFF F7FF FBFF FFFF FFFF
FFFF FFFB FFFF FFFF FBFF FBFF FFFF FFFF F7FF DFFF FFFF FFFB FEFF FFFF FFFF FFFF
