Physical Chip 0
0004 2C14 1C09 0A12 0110 0C00 0702 1408 0103 0400 0102 0000 0510 0300 0602 0010
1200 0800 0D14 0008 0018 0108 1108 1100 0016 0400 0910 0800 0810 0C04 0120 0800
0000 1400 1602 2023 1001 0004 0A00 0B00 0005 0704 2400 0C02 0601 0406 0106 0000
0402 0210 083F 042A 0500 0F0A 0004 0400 0800 0840 1001 0412 1E00 0042 0500 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0400 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0009 0010 4000 4000 0420 2000 2008 0404 0428 0403 0410 0080 0010 0008 0300 0008
0200 2800 4008 0048 2800 0040 1020 0000 000E 0805 2011 0020 0100 1908 0C21 0208
0080 0424 0080 0500 0802 0080 0020 1501 0208 0210 0108 0002 0008 0008 0008 8014
4010 2002 0004 0900 0000 0004 0044 0105 0100 0904 0800 0000 1001 0000 1020 0000
1000 8000 0800 8000 0090 0310 0000 0000 2041 0500 0010 0084 8008 0000 2300 8000
