Physical Chip 0
2006 2C24 0D19 0A02 0010 0800 0302 1001 0101 1400 100A 0000 0C10 0304 0600 0002
1000 0800 041C 8008 0010 0908 1308 0508 0516 0508 0910 2810 0800 0C15 0530 0C10
0020 0004 3000 2001 0603 1006 0B03 0110 0004 0400 2404 0900 0601 1002 0102 0001
0500 0010 0A1F 0808 0500 0E08 0014 0400 0000 0A40 0003 0413 0400 102A 0500 0200
0800 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0400 2000 0004 0000 0180 2010 0400 0220 0411 0010 0000 9010 0020 0200 0048
0200 2800 4008 0080 0800 0040 0020 0010 000A 0405 0001 00A0 2102 14C0 0401 0008
0080 0400 808A 0800 0002 1088 0020 1C01 0008 0A00 040C 0002 0008 0004 4080 0004
0010 0402 0004 0100 8401 0004 0044 0185 0100 0104 0800 0200 1000 0000 1200 0040
1000 8300 0800 A010 0401 0B00 0008 4040 0400 0500 0000 0094 8008 8020 23A0 0020
8002 0200 0520 0180 0400 0C02 1081 0041 0020 0000 0001 0040 1C11 0100 0200 4052
8002 0000 000A 0004 0602 0804 0020 0210 0000 0010 2020 0000 0084 0008 0000 0214
1010 0040 0108 0000 8004 0003 0081 0249 8400 0000 0000 0020 0040 0048 0004 2080
0400 1060 00C1 0000 0090 0000 0001 0100 4008 0000 A08C 0100 0083 0404 1000 4009
0100 0010 0120 0618 4080 0000 0030 2000 0100 0000 0800 0000 0000 0018 A200 9220
AA00 0202 0032 0000 0020 0000 0228 2004 8A42 0000 0040 0414 4030 000A 4800 0101
082B 0004 0000 0000 8000 1110 0040 0000 002A 6010 0840 0100 B110 4001 8201 2010
8181 01D0 0010 0001 0018 0010 0602 0021 1209 4810 0201 4810 0688 3240 8800 0000
0104 0001 0000 0000 1001 4411 40C0 2000 9000 0400 0242 0840 4004 0400 0400 0100
0008 0008 08C4 2080 0410 0000 2840 0040 1000 2410 8306 0080 2580 1021 6008 0800
0020 2000 0002 8240 0001 4000 0000 1020 0010 4082 0000 7005 2030 0102 0610 0002
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 8000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0000 0004 0000 0001 0000 0500
0000 0000 0000 0400 0000 0100 0000 0004 0000 0000 0000 0000 0000 0008 0000 0100
0000 0000 0000 0000 0000 0000 0000 0000 0400 0008 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0001 0000 0000 0000 1000 0200 0104 0000 0000 0000
0000 0500 0000 0000 0000 0000 0000 0C00 0000 0000 0100 0000 0300 0001 0000 0000
0000 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
000A 0000 0008 0000 0009 0000 1202 0000 0000 0000 0000 0000 0008 0000 0000 0000
0000 0000 0400 0000 0000 0001 0000 0100 0000 0000 0000 0000 0001 0100 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0200 0000 0000 0000 0000 0000 0000
0001 0000 0100 0000 0000 0000 0000 0000 0000 0001 0800 0000 0100 0003 0000 0000
0002 0000 0800 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0008
0000 1000 0000 0000 0000 0000 0000 0010 0800 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0900 0000 0000 0200 0000 0000 0004 0000 0000 0000 0000 0000 0000
0000 0000 0402 0000 0008 0008 0000 0000 0100 0000 0200 0800 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0040 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 4000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0008 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0010 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
