Physical Chip 0
000D 0E14 1C31 0202 0010 0D00 0202 1809 0909 0D00 0002 0002 0C10 0205 1602 001A
1200 0005 0414 0008 0010 0008 1118 1D0E 0717 0D00 0818 0C00 1100 1C14 1124 0410
0428 1E00 1002 2003 1700 0006 0C55 0108 0206 0400 2418 0000 0601 0406 0102 0000
1402 0602 080C 0C28 0500 0708 0404 0C00 0808 0C41 1001 0C00 1811 003A 4500 0021
0000 0000 0000 0000 0000 0000 0000 0080 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0400 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0002 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0400
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0400 4800 0010 0008 2000 3050 0000 0020 0801 0010 0040 1010 0418 0A00 0008
0200 6000 4108 0088 0800 0040 0021 0000 000A 0005 2001 0020 0500 1180 0400 0848
0080 0000 0088 0000 0002 0080 0020 1401 0028 0012 0008 0202 0008 0000 4008 4004
0010 0012 0008 0820 0400 0004 4044 010D 0800 5104 8800 0200 1000 0100 1800 0000
1000 0000 0A10 B000 0010 0308 0020 0040 2040 0500 0000 0084 0008 0080 2200 0000
8092 8000 0020 8100 0400 0800 0881 0141 0000 4440 0000 0000 1811 0500 0000 4043
8000 0100 0102 0024 0402 08A4 0008 0230 0040 001A 0020 0050 06CC 0001 0009 0414
1000 0010 2080 0001 9080 0000 0000 0249 8400 0000 0100 0820 0060 8068 0800 0000
2620 1020 0041 C010 0080 0000 0001 0911 4008 0000 808C 0104 0083 0400 0000 4008
4800 0820 0120 0E00 4080 0010 0020 0000 1910 0000 0802 0000 0400 0010 A030 8200
8000 0202 0010 0000 0120 0018 0208 2008 4803 0040 0000 4414 4000 A000 4000 0101
