Physical Chip 0
1224 0C10 2C21 2222 0010 1C04 0222 1C0B 0901 1D00 010E 0102 0C10 0204 0600 0012
1200 0801 040C 0000 0012 0008 1308 190E 0114 0D00 0F10 1C10 0800 0414 0120 0C10
0408 2244 0002 2003 1201 1006 0E41 0518 0006 0400 2008 0100 060B 0406 0100 0000
0500 0604 0C0C 0C0A 0700 0F0A 0104 0400 0808 0A40 1415 0402 0A18 303E 05A0 0020
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0010 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 A000 0080 1000 0040 2000 0404 00A0 0001 0011 4110 0010 0010 02A8 0008
0210 2800 4098 0008 0800 0040 0020 2000 000A 0045 0001 0020 0101 1000 0403 0408
2081 0000 8080 0900 0002 0280 0020 1501 0808 0200 0408 0002 0048 0000 1008 0204
0010 0022 4804 0800 0000 0004 00C4 0105 0000 4105 2820 0711 1100 0010 1002 0000
1800 0000 0804 8800 0008 0340 2000 0100 2000 2D00 0001 0084 0008 00A0 2209 2000
