Physical Chip 0
1414 0C10 1C01 1000 0010 1900 0202 1813 0903 0D00 010A 0002 0410 0A04 0600 001A
1200 0001 0514 0008 0210 0208 1128 150C 0516 0D00 2C10 0D08 0910 0814 0104 2410
0038 0604 0100 2011 160B 1016 0C01 0318 0204 0C08 2C30 0800 0601 0406 0102 0001
0502 0404 0C0D 080A 0510 0F08 0004 0400 0800 0C41 1401 0502 1400 102A 6510 0220
0000 8000 8000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0040 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0800 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 6000 0004 0000 2000 2000 0000 1020 0401 0010 0000 1010 0000 0200 080A
0300 2000 401A 0040 0808 0040 0020 0400 000A 0005 2041 0020 0101 1100 2420 2008
0080 0000 8488 0400 0002 0281 0020 0401 0808 8000 0002 0002 0008 0000 0000 8004
0010 0002 0800 0040 2080 0004 0044 0945 0000 0104 0800 8200 1000 0014 1000 0400
9204 8010 4A00 8000 0000 0B00 2000 0040 2001 0502 0004 1094 2008 8220 2210 0400
800A 0800 0020 2902 0440 2000 0091 004D 0000 9400 8000 0000 1811 2501 0000 4942
0008 0100 000A 0004 042A 0844 0008 0618 0100 0010 2020 8080 0082 0040 0018 0594
