Node Name, Layer Name, Layer Number, ifmap, ofmap, fmap
node_1,conv1,1,309174,580800,69696
node_1,conv2_part_1_o,2,184512,137052,451200
node_2,conv2_part_2_o,1,184512,158922,523200
node_3,conv2_part_3_o,1,184512,77274,254400
node_3,conv3_part_1_o,2,115200,19604,267264
node_4,conv3_part_2_o,1,115200,38194,520704
node_5,conv3_part_3_o,1,115200,38194,520704
node_6,conv3_part_4_o,1,115200,33800,460800
node_6,conv4_part_1_o,2,172800,3042,62208
node_7,conv4_part_2_o,1,172800,25350,518400
node_8,conv4_part_3_o,1,172800,25350,518400
node_9,conv4_part_4_o,1,172800,25350,518400
node_10,conv4_part_5_o,1,172800,25350,518400
node_11,conv4_part_6_o,1,172800,25350,518400
node_11,conv5_part_1_i,2,450,86528,4608
node_12,conv5_part_2_i,1,50850,86528,520704
node_13,conv5_part_3_i,1,50850,86528,520704
node_14,conv5_part_4_i,1,50850,86528,520704
node_15,conv5_part_5_i,1,19800,86528,202752
node_15,fc1_part_1_o,2,18432,34,313344
node_16,fc1_part_2_o,1,18432,56,516096
node_17,fc1_part_3_o,1,18432,56,516096
node_18,fc1_part_4_o,1,18432,56,516096
node_19,fc1_part_5_o,1,18432,56,516096
node_20,fc1_part_6_o,1,18432,56,516096
node_21,fc1_part_7_o,1,18432,56,516096
node_22,fc1_part_8_o,1,18432,56,516096
node_23,fc1_part_9_o,1,18432,56,516096
node_24,fc1_part_10_o,1,18432,56,516096
node_25,fc1_part_11_o,1,18432,56,516096
node_26,fc1_part_12_o,1,18432,56,516096
node_27,fc1_part_13_o,1,18432,56,516096
node_28,fc1_part_14_o,1,18432,56,516096
node_29,fc1_part_15_o,1,18432,56,516096
node_30,fc1_part_16_o,1,18432,56,516096
node_31,fc1_part_17_o,1,18432,56,516096
node_32,fc1_part_18_o,1,18432,56,516096
node_33,fc1_part_19_o,1,18432,56,516096
node_34,fc1_part_20_o,1,18432,56,516096
node_35,fc1_part_21_o,1,18432,56,516096
node_36,fc1_part_22_o,1,18432,56,516096
node_37,fc1_part_23_o,1,18432,56,516096
node_38,fc1_part_24_o,1,18432,56,516096
node_39,fc1_part_25_o,1,18432,56,516096
node_40,fc1_part_26_o,1,18432,56,516096
node_41,fc1_part_27_o,1,18432,56,516096
node_42,fc1_part_28_o,1,18432,56,516096
node_43,fc1_part_29_o,1,18432,56,516096
node_44,fc1_part_30_o,1,18432,56,516096
node_45,fc1_part_31_o,1,18432,56,516096
node_46,fc1_part_32_o,1,18432,56,516096
node_47,fc1_part_33_o,1,18432,56,516096
node_48,fc1_part_34_o,1,18432,56,516096
node_49,fc1_part_35_o,1,18432,56,516096
node_50,fc1_part_36_o,1,18432,56,516096
node_51,fc1_part_37_o,1,18432,56,516096
node_52,fc1_part_38_o,1,18432,56,516096
node_53,fc1_part_39_o,1,18432,56,516096
node_54,fc1_part_40_o,1,18432,56,516096
node_55,fc1_part_41_o,1,18432,56,516096
node_56,fc1_part_42_o,1,18432,56,516096
node_57,fc1_part_43_o,1,18432,56,516096
node_58,fc1_part_44_o,1,18432,56,516096
node_59,fc1_part_45_o,1,18432,56,516096
node_60,fc1_part_46_o,1,18432,56,516096
node_61,fc1_part_47_o,1,18432,56,516096
node_62,fc1_part_48_o,1,18432,56,516096
node_63,fc1_part_49_o,1,18432,56,516096
node_64,fc1_part_50_o,1,18432,56,516096
node_65,fc1_part_51_o,1,18432,56,516096
node_66,fc1_part_52_o,1,18432,56,516096
node_67,fc1_part_53_o,1,18432,56,516096
node_68,fc1_part_54_o,1,18432,56,516096
node_69,fc1_part_55_o,1,18432,56,516096
node_70,fc1_part_56_o,1,18432,56,516096
node_71,fc1_part_57_o,1,18432,56,516096
node_72,fc1_part_58_o,1,18432,56,516096
node_73,fc1_part_59_o,1,18432,56,516096
node_74,fc1_part_60_o,1,18432,56,516096
node_75,fc1_part_61_o,1,18432,56,516096
node_76,fc1_part_62_o,1,18432,56,516096
node_77,fc1_part_63_o,1,18432,56,516096
node_78,fc1_part_64_o,1,18432,56,516096
node_79,fc1_part_65_o,1,18432,56,516096
node_80,fc1_part_66_o,1,18432,56,516096
node_81,fc1_part_67_o,1,18432,56,516096
node_82,fc1_part_68_o,1,18432,56,516096
node_83,fc1_part_69_o,1,18432,56,516096
node_84,fc1_part_70_o,1,18432,56,516096
node_85,fc1_part_71_o,1,18432,56,516096
node_86,fc1_part_72_o,1,18432,56,516096
node_87,fc1_part_73_o,1,18432,56,516096
node_88,fc1_part_74_o,1,18432,56,516096
node_89,fc1_part_75_o,1,18432,56,516096
node_90,fc1_part_76_o,1,18432,56,516096
node_91,fc1_part_77_o,1,18432,56,516096
node_92,fc1_part_78_o,1,18432,56,516096
node_93,fc1_part_79_o,1,18432,56,516096
node_94,fc1_part_80_o,1,18432,56,516096
node_95,fc1_part_81_o,1,18432,56,516096
node_96,fc1_part_82_o,1,18432,56,516096
node_97,fc1_part_83_o,1,18432,56,516096
node_98,fc1_part_84_o,1,18432,56,516096
node_99,fc1_part_85_o,1,18432,56,516096
node_100,fc1_part_86_o,1,18432,56,516096
node_101,fc1_part_87_o,1,18432,56,516096
node_102,fc1_part_88_o,1,18432,56,516096
node_103,fc1_part_89_o,1,18432,56,516096
node_104,fc1_part_90_o,1,18432,56,516096
node_105,fc1_part_91_o,1,18432,56,516096
node_106,fc1_part_92_o,1,18432,56,516096
node_107,fc1_part_93_o,1,18432,56,516096
node_108,fc1_part_94_o,1,18432,56,516096
node_109,fc1_part_95_o,1,18432,56,516096
node_110,fc1_part_96_o,1,18432,56,516096
node_111,fc1_part_97_o,1,18432,56,516096
node_112,fc1_part_98_o,1,18432,56,516096
node_113,fc1_part_99_o,1,18432,56,516096
node_114,fc1_part_100_o,1,18432,56,516096
node_115,fc1_part_101_o,1,18432,56,516096
node_116,fc1_part_102_o,1,18432,56,516096
node_117,fc1_part_103_o,1,18432,56,516096
node_118,fc1_part_104_o,1,18432,56,516096
node_119,fc1_part_105_o,1,18432,56,516096
node_120,fc1_part_106_o,1,18432,56,516096
node_121,fc1_part_107_o,1,18432,56,516096
node_122,fc1_part_108_o,1,18432,56,516096
node_123,fc1_part_109_o,1,18432,56,516096
node_124,fc1_part_110_o,1,18432,56,516096
node_125,fc1_part_111_o,1,18432,56,516096
