Node Name, Layer Name, Layer Number, ifmap, ofmap, fmap
node_1,conv1,1,309174,580800,69696
node_1,conv2,2,184512,373248,1228800
node_1,conv3,3,115200,129792,1769472
node_1,conv4_part_1_o,4,172800,54756,1119744
node_2,conv4_part_2_o,1,172800,75036,1534464
node_2,conv5,2,172800,86528,1769472
node_2,fc1_part_1_o,3,18432,96,884736
node_3,fc1_part_2_o,1,18432,454,4184064
node_4,fc1_part_3_o,1,18432,454,4184064
node_5,fc1_part_4_o,1,18432,454,4184064
node_6,fc1_part_5_o,1,18432,454,4184064
node_7,fc1_part_6_o,1,18432,454,4184064
node_8,fc1_part_7_o,1,18432,454,4184064
node_9,fc1_part_8_o,1,18432,454,4184064
node_10,fc1_part_9_o,1,18432,454,4184064
node_11,fc1_part_10_o,1,18432,454,4184064
node_12,fc1_part_11_o,1,18432,454,4184064
node_13,fc1_part_12_o,1,18432,454,4184064
node_14,fc1_part_13_o,1,18432,454,4184064
node_15,fc1_part_14_o,1,18432,454,4184064
node_16,fc1_part_15_o,1,18432,454,4184064
node_17,fc1_part_16_o,1,18432,454,4184064
node_18,fc1_part_17_o,1,18432,454,4184064
node_19,fc1_part_18_o,1,18432,454,4184064
node_20,fc1_part_19_o,1,18432,378,3483648
node_20,fc2_part_1_o,2,8192,172,704512
node_21,fc2_part_2_o,1,8192,1024,4194304
node_22,fc2_part_3_o,1,8192,1024,4194304
node_23,fc2_part_4_o,1,8192,1024,4194304
node_24,fc2_part_5_o,1,8192,1024,4194304
node_25,fc2_part_6_o,1,8192,1024,4194304
node_26,fc2_part_7_o,1,8192,1024,4194304
node_27,fc2_part_8_o,1,8192,1024,4194304
node_28,fc2_part_9_o,1,8192,852,3489792
node_28,fc3_part_1_i,2,704,2000,704000
node_29,fc3_part_2_i,1,4194,2000,4194000
node_30,fc3_part_3_i,1,3294,2000,3294000
