Node Name, Layer Name, Layer Number, ifmap, ofmap, fmap
node_1,embed1_part_1_i,1,64,8192,256
node_2,embed1_part_2_i,1,64,8192,256
node_3,embed1_part_3_i,1,64,8192,256
node_4,embed1_part_4_i,1,64,8192,256
node_5,embed1_part_5_i,1,64,8192,256
node_6,embed1_part_6_i,1,64,8192,256
node_7,embed1_part_7_i,1,64,8192,256
node_8,embed1_part_8_i,1,64,8192,256
node_9,embed1_part_9_i,1,64,8192,256
node_10,embed1_part_10_i,1,64,8192,256
node_11,embed1_part_11_i,1,64,8192,256
node_12,embed1_part_12_i,1,64,8192,256
node_13,embed1_part_13_i,1,64,8192,256
node_14,embed1_part_14_i,1,64,8192,256
node_15,embed1_part_15_i,1,64,8192,256
node_16,embed1_part_16_i,1,64,8192,256
node_17,embed1_part_17_i,1,64,8192,256
node_18,embed1_part_18_i,1,64,8192,256
node_19,embed1_part_19_i,1,64,8192,256
node_20,embed1_part_20_i,1,64,8192,256
node_21,embed1_part_21_i,1,64,8192,256
node_22,embed1_part_22_i,1,64,8192,256
node_23,embed1_part_23_i,1,64,8192,256
node_24,embed1_part_24_i,1,64,8192,256
node_25,embed1_part_25_i,1,64,8192,256
node_26,embed1_part_26_i,1,64,8192,256
node_27,embed1_part_27_i,1,64,8192,256
node_28,embed1_part_28_i,1,64,8192,256
node_29,embed1_part_29_i,1,64,8192,256
node_30,embed1_part_30_i,1,64,8192,256
node_31,embed1_part_31_i,1,64,8192,256
node_32,embed1_part_32_i,1,64,8192,256
node_33,embed1_part_33_i,1,64,8192,256
node_34,embed1_part_34_i,1,64,8192,256
node_35,embed1_part_35_i,1,64,8192,256
node_36,embed1_part_36_i,1,64,8192,256
node_37,embed1_part_37_i,1,64,8192,256
node_38,embed1_part_38_i,1,64,8192,256
node_39,embed1_part_39_i,1,64,8192,256
node_40,embed1_part_40_i,1,64,8192,256
node_41,embed1_part_41_i,1,64,8192,256
node_42,embed1_part_42_i,1,64,8192,256
node_43,embed1_part_43_i,1,64,8192,256
node_44,embed1_part_44_i,1,64,8192,256
node_45,embed1_part_45_i,1,64,8192,256
node_46,embed1_part_46_i,1,64,8192,256
node_47,embed1_part_47_i,1,64,8192,256
node_48,embed1_part_48_i,1,64,8192,256
node_49,embed1_part_49_i,1,64,8192,256
node_50,embed1_part_50_i,1,64,8192,256
node_51,embed1_part_51_i,1,64,8192,256
node_52,embed1_part_52_i,1,64,8192,256
node_53,embed1_part_53_i,1,64,8192,256
node_54,embed1_part_54_i,1,64,8192,256
node_55,embed1_part_55_i,1,64,8192,256
node_56,embed1_part_56_i,1,64,8192,256
node_57,embed1_part_57_i,1,64,8192,256
node_58,embed1_part_58_i,1,64,8192,256
node_59,embed1_part_59_i,1,64,8192,256
node_60,embed1_part_60_i,1,64,8192,256
node_61,embed1_part_61_i,1,64,8192,256
node_62,embed1_part_62_i,1,64,8192,256
node_63,embed1_part_63_i,1,64,8192,256
node_64,embed1_part_64_i,1,64,8192,256
node_65,embed1_part_65_i,1,64,8192,256
node_66,embed1_part_66_i,1,64,8192,256
node_67,embed1_part_67_i,1,64,8192,256
node_68,embed1_part_68_i,1,64,8192,256
node_69,embed1_part_69_i,1,64,8192,256
node_70,embed1_part_70_i,1,64,8192,256
node_71,embed1_part_71_i,1,64,8192,256
node_72,embed1_part_72_i,1,64,8192,256
node_73,embed1_part_73_i,1,64,8192,256
node_74,embed1_part_74_i,1,64,8192,256
node_75,embed1_part_75_i,1,64,8192,256
node_76,embed1_part_76_i,1,64,8192,256
node_77,embed1_part_77_i,1,64,8192,256
node_78,embed1_part_78_i,1,64,8192,256
node_79,embed1_part_79_i,1,64,8192,256
node_80,embed1_part_80_i,1,64,8192,256
node_81,embed1_part_81_i,1,64,8192,256
node_82,embed1_part_82_i,1,64,8192,256
node_83,embed1_part_83_i,1,64,8192,256
node_84,embed1_part_84_i,1,64,8192,256
node_85,embed1_part_85_i,1,64,8192,256
node_86,embed1_part_86_i,1,64,8192,256
node_87,embed1_part_87_i,1,64,8192,256
node_88,embed1_part_88_i,1,64,8192,256
node_89,embed1_part_89_i,1,64,8192,256
node_90,embed1_part_90_i,1,64,8192,256
node_91,embed1_part_91_i,1,64,8192,256
node_92,embed1_part_92_i,1,64,8192,256
node_93,embed1_part_93_i,1,64,8192,256
node_94,embed1_part_94_i,1,64,8192,256
node_95,embed1_part_95_i,1,64,8192,256
node_96,embed1_part_96_i,1,64,8192,256
node_97,embed1_part_97_i,1,64,8192,256
node_98,embed1_part_98_i,1,64,8192,256
node_99,embed1_part_99_i,1,64,8192,256
node_100,embed1_part_100_i,1,64,8192,256
node_101,embed1_part_101_i,1,64,8192,256
node_102,embed1_part_102_i,1,64,8192,256
node_103,embed1_part_103_i,1,64,8192,256
node_104,embed1_part_104_i,1,64,8192,256
node_105,embed1_part_105_i,1,64,8192,256
node_106,embed1_part_106_i,1,64,8192,256
node_107,embed1_part_107_i,1,64,8192,256
node_108,embed1_part_108_i,1,64,8192,256
node_109,embed1_part_109_i,1,64,8192,256
node_110,embed1_part_110_i,1,64,8192,256
node_111,embed1_part_111_i,1,64,8192,256
node_112,embed1_part_112_i,1,64,8192,256
node_113,embed1_part_113_i,1,64,8192,256
node_114,embed1_part_114_i,1,64,8192,256
node_115,embed1_part_115_i,1,64,8192,256
node_116,embed1_part_116_i,1,64,8192,256
node_117,embed1_part_117_i,1,64,8192,256
node_118,embed1_part_118_i,1,64,8192,256
node_119,embed1_part_119_i,1,64,8192,256
node_120,embed1_part_120_i,1,64,8192,256
node_121,embed1_part_121_i,1,64,8192,256
node_122,embed1_part_122_i,1,64,8192,256
node_123,embed1_part_123_i,1,64,8192,256
node_124,embed1_part_124_i,1,64,8192,256
node_125,embed1_part_125_i,1,64,8192,256
node_126,embed1_part_126_i,1,64,8192,256
node_127,embed1_part_127_i,1,64,8192,256
node_128,embed1_part_128_i,1,64,8192,256
node_129,embed1_part_129_i,1,64,8192,256
node_130,embed1_part_130_i,1,64,8192,256
node_131,embed1_part_131_i,1,64,8192,256
node_132,embed1_part_132_i,1,64,8192,256
node_133,embed1_part_133_i,1,64,8192,256
node_134,embed1_part_134_i,1,64,8192,256
node_135,embed1_part_135_i,1,64,8192,256
node_136,embed1_part_136_i,1,64,8192,256
node_137,embed1_part_137_i,1,64,8192,256
node_138,embed1_part_138_i,1,64,8192,256
node_139,embed1_part_139_i,1,64,8192,256
node_140,embed1_part_140_i,1,64,8192,256
node_141,embed1_part_141_i,1,64,8192,256
node_142,embed1_part_142_i,1,64,8192,256
node_143,embed1_part_143_i,1,64,8192,256
node_144,embed1_part_144_i,1,64,8192,256
node_145,embed1_part_145_i,1,64,8192,256
node_146,embed1_part_146_i,1,64,8192,256
node_147,embed1_part_147_i,1,64,8192,256
node_148,embed1_part_148_i,1,64,8192,256
node_149,embed1_part_149_i,1,64,8192,256
node_150,embed1_part_150_i,1,64,8192,256
node_151,embed1_part_151_i,1,64,8192,256
node_152,embed1_part_152_i,1,64,8192,256
node_153,embed1_part_153_i,1,64,8192,256
node_154,embed1_part_154_i,1,64,8192,256
node_155,embed1_part_155_i,1,64,8192,256
node_156,embed1_part_156_i,1,64,8192,256
node_157,embed1_part_157_i,1,64,8192,256
node_158,embed1_part_158_i,1,64,8192,256
node_159,embed1_part_159_i,1,64,8192,256
node_160,embed1_part_160_i,1,64,8192,256
node_161,embed1_part_161_i,1,64,8192,256
node_162,embed1_part_162_i,1,64,8192,256
node_163,embed1_part_163_i,1,64,8192,256
node_164,embed1_part_164_i,1,64,8192,256
node_165,embed1_part_165_i,1,64,8192,256
node_166,embed1_part_166_i,1,64,8192,256
node_167,embed1_part_167_i,1,64,8192,256
node_168,embed1_part_168_i,1,64,8192,256
node_169,embed1_part_169_i,1,64,8192,256
node_170,embed1_part_170_i,1,64,8192,256
node_171,embed1_part_171_i,1,64,8192,256
node_172,embed1_part_172_i,1,64,8192,256
node_173,embed1_part_173_i,1,64,8192,256
node_174,embed1_part_174_i,1,64,8192,256
node_175,embed1_part_175_i,1,64,8192,256
node_176,embed1_part_176_i,1,64,8192,256
node_177,embed1_part_177_i,1,64,8192,256
node_178,embed1_part_178_i,1,64,8192,256
node_179,embed1_part_179_i,1,64,8192,256
node_180,embed1_part_180_i,1,64,8192,256
node_181,embed1_part_181_i,1,64,8192,256
node_182,embed1_part_182_i,1,64,8192,256
node_183,embed1_part_183_i,1,64,8192,256
node_184,embed1_part_184_i,1,64,8192,256
node_185,embed1_part_185_i,1,64,8192,256
node_186,embed1_part_186_i,1,64,8192,256
node_187,embed1_part_187_i,1,64,8192,256
node_188,embed1_part_188_i,1,64,8192,256
node_189,embed1_part_189_i,1,64,8192,256
node_190,embed1_part_190_i,1,64,8192,256
node_191,embed1_part_191_i,1,64,8192,256
node_192,embed1_part_192_i,1,64,8192,256
node_193,embed1_part_193_i,1,64,8192,256
node_194,embed1_part_194_i,1,64,8192,256
node_195,embed1_part_195_i,1,64,8192,256
node_196,embed1_part_196_i,1,64,8192,256
node_197,embed1_part_197_i,1,64,8192,256
node_198,embed1_part_198_i,1,64,8192,256
node_199,embed1_part_199_i,1,64,8192,256
node_200,embed1_part_200_i,1,64,8192,256
node_201,embed1_part_201_i,1,64,8192,256
node_202,embed1_part_202_i,1,64,8192,256
node_203,embed1_part_203_i,1,64,8192,256
node_204,embed1_part_204_i,1,64,8192,256
node_205,embed1_part_205_i,1,64,8192,256
node_206,embed1_part_206_i,1,64,8192,256
node_207,embed1_part_207_i,1,64,8192,256
node_208,embed1_part_208_i,1,64,8192,256
node_209,embed1_part_209_i,1,64,8192,256
node_210,embed1_part_210_i,1,64,8192,256
node_211,embed1_part_211_i,1,64,8192,256
node_212,embed1_part_212_i,1,64,8192,256
node_213,embed1_part_213_i,1,64,8192,256
node_214,embed1_part_214_i,1,64,8192,256
node_215,embed1_part_215_i,1,64,8192,256
node_216,embed1_part_216_i,1,64,8192,256
node_217,embed1_part_217_i,1,64,8192,256
node_218,embed1_part_218_i,1,64,8192,256
node_219,embed1_part_219_i,1,64,8192,256
node_220,embed1_part_220_i,1,64,8192,256
node_221,embed1_part_221_i,1,64,8192,256
node_222,embed1_part_222_i,1,64,8192,256
node_223,embed1_part_223_i,1,64,8192,256
node_224,embed1_part_224_i,1,64,8192,256
node_225,embed1_part_225_i,1,64,8192,256
node_226,embed1_part_226_i,1,64,8192,256
node_227,embed1_part_227_i,1,64,8192,256
node_228,embed1_part_228_i,1,64,8192,256
node_229,embed1_part_229_i,1,64,8192,256
node_230,embed1_part_230_i,1,64,8192,256
node_231,embed1_part_231_i,1,64,8192,256
node_232,embed1_part_232_i,1,64,8192,256
node_233,embed1_part_233_i,1,64,8192,256
node_234,embed1_part_234_i,1,64,8192,256
node_235,embed1_part_235_i,1,64,8192,256
node_236,embed1_part_236_i,1,64,8192,256
node_237,embed1_part_237_i,1,64,8192,256
node_238,embed1_part_238_i,1,64,8192,256
node_239,embed1_part_239_i,1,64,8192,256
node_240,embed1_part_240_i,1,64,8192,256
node_241,embed1_part_241_i,1,64,8192,256
node_242,embed1_part_242_i,1,64,8192,256
node_243,embed1_part_243_i,1,64,8192,256
node_244,embed1_part_244_i,1,64,8192,256
node_245,embed1_part_245_i,1,64,8192,256
node_246,embed1_part_246_i,1,64,8192,256
node_247,embed1_part_247_i,1,64,8192,256
node_248,embed1_part_248_i,1,64,8192,256
node_249,embed1_part_249_i,1,64,8192,256
node_250,embed1_part_250_i,1,64,8192,256
node_251,embed1_part_251_i,1,64,8192,256
node_252,embed1_part_252_i,1,64,8192,256
node_253,embed1_part_253_i,1,64,8192,256
node_254,embed1_part_254_i,1,64,8192,256
node_255,embed1_part_255_i,1,64,8192,256
node_256,embed1_part_256_i,1,64,8192,256
node_257,embed1_part_257_i,1,64,8192,256
node_258,embed1_part_258_i,1,64,8192,256
node_259,embed1_part_259_i,1,64,8192,256
node_260,embed1_part_260_i,1,64,8192,256
node_261,embed1_part_261_i,1,64,8192,256
node_262,embed1_part_262_i,1,64,8192,256
node_263,embed1_part_263_i,1,64,8192,256
node_264,embed1_part_264_i,1,64,8192,256
node_265,embed1_part_265_i,1,64,8192,256
node_266,embed1_part_266_i,1,64,8192,256
node_267,embed1_part_267_i,1,64,8192,256
node_268,embed1_part_268_i,1,64,8192,256
node_269,embed1_part_269_i,1,64,8192,256
node_270,embed1_part_270_i,1,64,8192,256
node_271,embed1_part_271_i,1,64,8192,256
node_272,embed1_part_272_i,1,64,8192,256
node_273,embed1_part_273_i,1,64,8192,256
node_274,embed1_part_274_i,1,64,8192,256
node_275,embed1_part_275_i,1,64,8192,256
node_276,embed1_part_276_i,1,64,8192,256
node_277,embed1_part_277_i,1,64,8192,256
node_278,embed1_part_278_i,1,64,8192,256
node_279,embed1_part_279_i,1,64,8192,256
node_280,embed1_part_280_i,1,64,8192,256
node_281,embed1_part_281_i,1,64,8192,256
node_282,embed1_part_282_i,1,64,8192,256
node_283,embed1_part_283_i,1,64,8192,256
node_284,embed1_part_284_i,1,64,8192,256
node_285,embed1_part_285_i,1,64,8192,256
node_286,embed1_part_286_i,1,64,8192,256
node_287,embed1_part_287_i,1,64,8192,256
node_288,embed1_part_288_i,1,64,8192,256
node_289,embed1_part_289_i,1,64,8192,256
node_290,embed1_part_290_i,1,64,8192,256
node_291,embed1_part_291_i,1,64,8192,256
node_292,embed1_part_292_i,1,64,8192,256
node_293,embed1_part_293_i,1,64,8192,256
node_294,embed1_part_294_i,1,64,8192,256
node_295,embed1_part_295_i,1,64,8192,256
node_296,embed1_part_296_i,1,64,8192,256
node_297,embed1_part_297_i,1,64,8192,256
node_298,embed1_part_298_i,1,64,8192,256
node_299,embed1_part_299_i,1,64,8192,256
node_300,embed1_part_300_i,1,64,8192,256
node_301,embed1_part_301_i,1,64,8192,256
node_302,embed1_part_302_i,1,64,8192,256
node_303,embed1_part_303_i,1,64,8192,256
node_304,embed1_part_304_i,1,64,8192,256
node_305,embed1_part_305_i,1,64,8192,256
node_306,embed1_part_306_i,1,64,8192,256
node_307,embed1_part_307_i,1,64,8192,256
node_308,embed1_part_308_i,1,64,8192,256
node_309,embed1_part_309_i,1,64,8192,256
node_310,embed1_part_310_i,1,64,8192,256
node_311,embed1_part_311_i,1,64,8192,256
node_312,embed1_part_312_i,1,64,8192,256
node_313,embed1_part_313_i,1,64,8192,256
node_314,embed1_part_314_i,1,64,8192,256
node_315,embed1_part_315_i,1,64,8192,256
node_316,embed1_part_316_i,1,64,8192,256
node_317,embed1_part_317_i,1,64,8192,256
node_318,embed1_part_318_i,1,64,8192,256
node_319,embed1_part_319_i,1,64,8192,256
node_320,embed1_part_320_i,1,64,8192,256
node_321,embed1_part_321_i,1,64,8192,256
node_322,embed1_part_322_i,1,64,8192,256
node_323,embed1_part_323_i,1,64,8192,256
node_324,embed1_part_324_i,1,64,8192,256
node_325,embed1_part_325_i,1,64,8192,256
node_326,embed1_part_326_i,1,64,8192,256
node_327,embed1_part_327_i,1,64,8192,256
node_328,embed1_part_328_i,1,64,8192,256
node_329,embed1_part_329_i,1,64,8192,256
node_330,embed1_part_330_i,1,64,8192,256
node_331,embed1_part_331_i,1,64,8192,256
node_332,embed1_part_332_i,1,64,8192,256
node_333,embed1_part_333_i,1,64,8192,256
node_334,embed1_part_334_i,1,64,8192,256
node_335,embed1_part_335_i,1,64,8192,256
node_336,embed1_part_336_i,1,64,8192,256
node_337,embed1_part_337_i,1,64,8192,256
node_338,embed1_part_338_i,1,64,8192,256
node_339,embed1_part_339_i,1,64,8192,256
node_340,embed1_part_340_i,1,64,8192,256
node_341,embed1_part_341_i,1,64,8192,256
node_342,embed1_part_342_i,1,64,8192,256
node_343,embed1_part_343_i,1,64,8192,256
node_344,embed1_part_344_i,1,64,8192,256
node_345,embed1_part_345_i,1,64,8192,256
node_346,embed1_part_346_i,1,64,8192,256
node_347,embed1_part_347_i,1,64,8192,256
node_348,embed1_part_348_i,1,64,8192,256
node_349,embed1_part_349_i,1,64,8192,256
node_350,embed1_part_350_i,1,64,8192,256
node_351,embed1_part_351_i,1,64,8192,256
node_352,embed1_part_352_i,1,64,8192,256
node_353,embed1_part_353_i,1,64,8192,256
node_354,embed1_part_354_i,1,64,8192,256
node_355,embed1_part_355_i,1,64,8192,256
node_356,embed1_part_356_i,1,64,8192,256
node_357,embed1_part_357_i,1,64,8192,256
node_358,embed1_part_358_i,1,64,8192,256
node_359,embed1_part_359_i,1,64,8192,256
node_360,embed1_part_360_i,1,64,8192,256
node_361,embed1_part_361_i,1,64,8192,256
node_362,embed1_part_362_i,1,64,8192,256
node_363,embed1_part_363_i,1,64,8192,256
node_364,embed1_part_364_i,1,64,8192,256
node_365,embed1_part_365_i,1,64,8192,256
node_366,embed1_part_366_i,1,64,8192,256
node_367,embed1_part_367_i,1,64,8192,256
node_368,embed1_part_368_i,1,64,8192,256
node_369,embed1_part_369_i,1,64,8192,256
node_370,embed1_part_370_i,1,64,8192,256
node_371,embed1_part_371_i,1,64,8192,256
node_372,embed1_part_372_i,1,64,8192,256
node_373,embed1_part_373_i,1,64,8192,256
node_374,embed1_part_374_i,1,64,8192,256
node_375,embed1_part_375_i,1,64,8192,256
node_376,embed1_part_376_i,1,64,8192,256
node_377,embed1_part_377_i,1,64,8192,256
node_378,embed1_part_378_i,1,64,8192,256
node_379,embed1_part_379_i,1,64,8192,256
node_380,embed1_part_380_i,1,64,8192,256
node_381,embed1_part_381_i,1,64,8192,256
node_382,embed1_part_382_i,1,64,8192,256
node_383,embed1_part_383_i,1,64,8192,256
node_384,embed1_part_384_i,1,64,8192,256
node_385,embed1_part_385_i,1,64,8192,256
node_386,embed1_part_386_i,1,64,8192,256
node_387,embed1_part_387_i,1,64,8192,256
node_388,embed1_part_388_i,1,64,8192,256
node_389,embed1_part_389_i,1,64,8192,256
node_390,embed1_part_390_i,1,64,8192,256
node_391,embed1_part_391_i,1,64,8192,256
node_392,embed1_part_392_i,1,64,8192,256
node_393,embed1_part_393_i,1,64,8192,256
node_394,embed1_part_394_i,1,64,8192,256
