Node Name, Layer Name, Layer Number, ifmap, ofmap, fmap
node_1,embed1_part_1_i,1,64,65536,2048
node_2,embed1_part_2_i,1,64,65536,2048
node_3,embed1_part_3_i,1,64,65536,2048
node_4,embed1_part_4_i,1,64,65536,2048
node_5,embed1_part_5_i,1,64,65536,2048
node_6,embed1_part_6_i,1,64,65536,2048
node_7,embed1_part_7_i,1,64,65536,2048
node_8,embed1_part_8_i,1,64,65536,2048
node_9,embed1_part_9_i,1,64,65536,2048
node_10,embed1_part_10_i,1,64,65536,2048
node_11,embed1_part_11_i,1,64,65536,2048
node_12,embed1_part_12_i,1,64,65536,2048
node_13,embed1_part_13_i,1,64,65536,2048
node_14,embed1_part_14_i,1,64,65536,2048
node_15,embed1_part_15_i,1,64,65536,2048
node_16,embed1_part_16_i,1,64,65536,2048
node_17,embed1_part_17_i,1,64,65536,2048
node_18,embed1_part_18_i,1,64,65536,2048
node_19,embed1_part_19_i,1,64,65536,2048
node_20,embed1_part_20_i,1,64,65536,2048
node_21,embed1_part_21_i,1,64,65536,2048
node_22,embed1_part_22_i,1,64,65536,2048
node_23,embed1_part_23_i,1,64,65536,2048
node_24,embed1_part_24_i,1,64,65536,2048
node_25,embed1_part_25_i,1,64,65536,2048
node_26,embed1_part_26_i,1,64,65536,2048
node_27,embed1_part_27_i,1,64,65536,2048
node_28,embed1_part_28_i,1,64,65536,2048
node_29,embed1_part_29_i,1,64,65536,2048
node_30,embed1_part_30_i,1,64,65536,2048
node_31,embed1_part_31_i,1,64,65536,2048
node_32,embed1_part_32_i,1,64,65536,2048
node_33,embed1_part_33_i,1,64,65536,2048
node_34,embed1_part_34_i,1,64,65536,2048
node_35,embed1_part_35_i,1,64,65536,2048
node_36,embed1_part_36_i,1,64,65536,2048
node_37,embed1_part_37_i,1,64,65536,2048
node_38,embed1_part_38_i,1,64,65536,2048
node_39,embed1_part_39_i,1,64,65536,2048
node_40,embed1_part_40_i,1,64,65536,2048
node_41,embed1_part_41_i,1,64,65536,2048
node_42,embed1_part_42_i,1,64,65536,2048
node_43,embed1_part_43_i,1,64,65536,2048
