Node Name, Layer Name, Layer Number, ifmap, ofmap, fmap
node_1,act_2_part_1_o,1,16384,896,458752
node_1,output_part_1_i,2,224,8192,57344
node_2,act_2_part_2_o,1,16384,896,458752
node_2,output_part_2_i,2,224,8192,57344
node_3,act_2_part_3_o,1,16384,896,458752
node_3,output_part_3_i,2,224,8192,57344
node_4,act_2_part_4_o,1,16384,896,458752
node_4,output_part_4_i,2,224,8192,57344
node_5,act_2_part_5_o,1,16384,896,458752
node_5,output_part_5_i,2,224,8192,57344
node_6,act_2_part_6_o,1,16384,896,458752
node_6,output_part_6_i,2,224,8192,57344
node_7,act_2_part_7_o,1,16384,896,458752
node_7,output_part_7_i,2,224,8192,57344
node_8,act_2_part_8_o,1,16384,896,458752
node_8,output_part_8_i,2,224,8192,57344
node_9,act_2_part_9_o,1,16384,896,458752
node_9,output_part_9_i,2,224,8192,57344
node_10,act_2_part_10_o,1,16384,896,458752
node_10,output_part_10_i,2,224,8192,57344
node_11,act_2_part_11_o,1,16384,896,458752
node_11,output_part_11_i,2,224,8192,57344
node_12,act_2_part_12_o,1,16384,896,458752
node_12,output_part_12_i,2,224,8192,57344
node_13,act_2_part_13_o,1,16384,896,458752
node_13,output_part_13_i,2,224,8192,57344
node_14,act_2_part_14_o,1,16384,896,458752
node_14,output_part_14_i,2,224,8192,57344
node_15,act_2_part_15_o,1,16384,896,458752
node_15,output_part_15_i,2,224,8192,57344
node_16,act_2_part_16_o,1,16384,896,458752
node_16,output_part_16_i,2,224,8192,57344
node_17,act_2_part_17_o,1,16384,896,458752
node_17,output_part_17_i,2,224,8192,57344
node_18,act_2_part_18_o,1,16384,896,458752
node_18,output_part_18_i,2,224,8192,57344
node_19,act_2_part_19_o,1,16384,896,458752
node_19,output_part_19_i,2,224,8192,57344
node_20,act_2_part_20_o,1,16384,896,458752
node_20,output_part_20_i,2,224,8192,57344
node_21,act_2_part_21_o,1,16384,896,458752
node_21,output_part_21_i,2,224,8192,57344
node_22,act_2_part_22_o,1,16384,896,458752
node_22,output_part_22_i,2,224,8192,57344
node_23,act_2_part_23_o,1,16384,896,458752
node_23,output_part_23_i,2,224,8192,57344
node_24,act_2_part_24_o,1,16384,896,458752
node_24,output_part_24_i,2,224,8192,57344
node_25,act_2_part_25_o,1,16384,896,458752
node_25,output_part_25_i,2,224,8192,57344
node_26,act_2_part_26_o,1,16384,896,458752
node_26,output_part_26_i,2,224,8192,57344
node_27,act_2_part_27_o,1,16384,896,458752
node_27,output_part_27_i,2,224,8192,57344
node_28,act_2_part_28_o,1,16384,896,458752
node_28,output_part_28_i,2,224,8192,57344
node_29,act_2_part_29_o,1,16384,896,458752
node_29,output_part_29_i,2,224,8192,57344
node_30,act_2_part_30_o,1,16384,896,458752
node_30,output_part_30_i,2,224,8192,57344
node_31,act_2_part_31_o,1,16384,896,458752
node_31,output_part_31_i,2,224,8192,57344
node_32,act_2_part_32_o,1,16384,896,458752
node_32,output_part_32_i,2,224,8192,57344
node_33,act_2_part_33_o,1,16384,896,458752
node_33,output_part_33_i,2,224,8192,57344
node_34,act_2_part_34_o,1,16384,896,458752
node_34,output_part_34_i,2,224,8192,57344
node_35,act_2_part_35_o,1,16384,896,458752
node_35,output_part_35_i,2,224,8192,57344
node_36,act_2_part_36_o,1,16384,896,458752
node_36,output_part_36_i,2,224,8192,57344
node_37,act_2_part_37_o,1,16384,896,458752
node_37,output_part_37_i,2,224,8192,57344
node_38,act_2_part_38_o,1,16384,896,458752
