Node Name, Layer Name, Layer Number, ifmap, ofmap, fmap
node_1,act_2_part_1_o,1,16384,58240,29818880
node_1,output_part_1_i,2,14560,8192,3727360
node_2,act_2_part_2_o,1,16384,58240,29818880
node_2,output_part_2_i,2,14560,8192,3727360
node_3,act_2_part_3_o,1,16384,58240,29818880
node_3,output_part_3_i,2,14560,8192,3727360
node_4,act_2_part_4_o,1,16384,58240,29818880
node_4,output_part_4_i,2,14560,8192,3727360
node_5,act_2_part_5_o,1,16384,29184,14942208
node_5,output_part_5_i,2,7296,8192,1867776
node_1_dummy,conv_part_1,1,8,58240,14560
node_2_dummy,conv_part_2,1,8,58240,14560
node_3_dummy,conv_part_3,1,8,58240,14560
node_4_dummy,conv_part_4,1,8,58240,14560
node_5_dummy,conv_part_5,1,8,29184,7296
