Node Name, Layer Name, Layer Number, ifmap, ofmap, fmap
node_1,conv1,1,314646,1605632,18816
node_1,conv2_1_a,2,401408,401408,8192
node_1,conv2_1_b,3,430592,401408,73728
node_1,conv2_1_c,4,401408,1605632,32768
node_1,conv2_2_a,5,401408,401408,8192
node_1,conv2_2_b,6,430592,401408,73728
node_1,conv2_2_c,7,401408,1605632,32768
node_1,conv2_3_a,8,401408,401408,8192
node_1,conv2_3_b,9,430592,401408,73728
node_1,conv2_3_c,10,401408,1605632,32768
node_1,conv3_1_a,11,1548800,200704,65536
node_1,conv3_1_b_part_1_o,12,230400,64288,94464
node_2,conv3_1_b_part_2_o,1,230400,136416,200448
node_2,conv3_1_c,2,200704,802816,131072
node_2,conv3_2_a,3,802816,200704,131072
node_2,conv3_2_b_part_1_o,4,230400,40768,59904
node_3,conv3_2_b_part_2_o,1,230400,159936,235008
node_3,conv3_2_c,2,200704,802816,131072
node_3,conv3_3_a,3,802816,200704,131072
node_3,conv3_3_b_part_1_o,4,230400,17248,25344
node_4,conv3_3_b_part_2_o,1,230400,183456,269568
node_4,conv3_3_c,2,200704,802816,131072
node_4,conv3_4_a_part_1_i,3,757344,200704,123648
node_5,conv3_4_a_part_2_i,1,45472,200704,7424
node_5,conv3_4_b,2,230400,200704,294912
node_5,conv3_4_c,3,200704,802816,131072
node_5,conv4_1_a_part_1_i,4,258066,100352,90624
node_6,conv4_1_a_part_2_i,1,488430,100352,171520
node_6,conv4_1_b_part_1_o,2,131072,29792,350208
node_7,conv4_1_b_part_2_o,1,131072,44296,520704
node_8,conv4_1_b_part_3_o,1,131072,26264,308736
node_8,conv4_1_c_part_1_o,2,100352,165032,215552
node_9,conv4_1_c_part_2_o,1,100352,236376,308736
node_9,conv4_2_a_part_1_i,2,165032,100352,215552
node_10,conv4_2_a_part_2_i,1,236376,100352,308736
node_10,conv4_2_b_part_1_o,2,131072,18032,211968
node_11,conv4_2_b_part_2_o,1,131072,44296,520704
node_12,conv4_2_b_part_3_o,1,131072,38024,446976
node_12,conv4_2_c_part_1_o,2,100352,59192,77312
node_13,conv4_2_c_part_2_o,1,100352,342216,446976
node_13,conv4_3_a_part_1_i,2,59192,100352,77312
node_14,conv4_3_a_part_2_i,1,342216,100352,446976
node_14,conv4_3_b_part_1_o,2,131072,6272,73728
node_15,conv4_3_b_part_2_o,1,131072,44296,520704
node_16,conv4_3_b_part_3_o,1,131072,44296,520704
node_17,conv4_3_b_part_4_o,1,131072,5488,64512
node_17,conv4_3_c_part_1_o,2,100352,352016,459776
node_18,conv4_3_c_part_2_o,1,100352,49392,64512
node_18,conv4_4_a_part_1_i,2,352016,100352,459776
node_19,conv4_4_a_part_2_i,1,49392,100352,64512
node_19,conv4_4_b_part_1_o,2,131072,38808,456192
node_20,conv4_4_b_part_2_o,1,131072,44296,520704
node_21,conv4_4_b_part_3_o,1,131072,17248,202752
node_21,conv4_4_c_part_1_o,2,100352,246176,321536
node_22,conv4_4_c_part_2_o,1,100352,155232,202752
node_22,conv4_5_a_part_1_i,2,246176,100352,321536
node_23,conv4_5_a_part_2_i,1,155232,100352,202752
node_23,conv4_5_b_part_1_o,2,131072,27048,317952
node_24,conv4_5_b_part_2_o,1,131072,44296,520704
node_25,conv4_5_b_part_3_o,1,131072,29008,340992
node_25,conv4_5_c_part_1_o,2,100352,140336,183296
node_26,conv4_5_c_part_2_o,1,100352,261072,340992
node_26,conv4_6_a_part_1_i,2,140336,100352,183296
node_27,conv4_6_a_part_2_i,1,261072,100352,340992
node_27,conv4_6_b_part_1_o,2,131072,15288,179712
node_28,conv4_6_b_part_2_o,1,131072,44296,520704
node_29,conv4_6_b_part_3_o,1,131072,40768,479232
node_29,conv4_6_c_part_1_o,2,100352,34496,45056
node_30,conv4_6_c_part_2_o,1,100352,366912,479232
node_30,conv5_1_a_part_1_i,2,14872,50176,45056
node_31,conv5_1_a_part_2_i,1,173056,50176,524288
node_32,conv5_1_a_part_3_i,1,158184,50176,479232
node_32,conv5_1_b_part_1_o,2,82944,392,36864
node_33,conv5_1_b_part_2_o,1,82944,5488,516096
node_34,conv5_1_b_part_3_o,1,82944,5488,516096
node_35,conv5_1_b_part_4_o,1,82944,5488,516096
node_36,conv5_1_b_part_5_o,1,82944,5488,516096
node_37,conv5_1_b_part_6_o,1,82944,5488,516096
node_38,conv5_1_b_part_7_o,1,82944,5488,516096
node_39,conv5_1_b_part_8_o,1,82944,5488,516096
node_40,conv5_1_b_part_9_o,1,82944,5488,516096
node_41,conv5_1_b_part_10_o,1,82944,5488,516096
node_42,conv5_1_b_part_11_o,1,82944,392,36864
node_42,conv5_1_c_part_1_o,2,50176,46648,487424
node_43,conv5_1_c_part_2_o,1,50176,50176,524288
node_44,conv5_1_c_part_3_o,1,50176,50176,524288
node_45,conv5_1_c_part_4_o,1,50176,50176,524288
node_46,conv5_1_c_part_5_o,1,50176,3528,36864
node_46,conv5_2_a_part_1_i,2,46648,50176,487424
node_47,conv5_2_a_part_2_i,1,50176,50176,524288
node_48,conv5_2_a_part_3_i,1,50176,50176,524288
node_49,conv5_2_a_part_4_i,1,50176,50176,524288
node_50,conv5_2_a_part_5_i,1,3528,50176,36864
node_50,conv5_2_b_part_1_o,2,82944,5096,479232
node_51,conv5_2_b_part_2_o,1,82944,5488,516096
node_52,conv5_2_b_part_3_o,1,82944,5488,516096
node_53,conv5_2_b_part_4_o,1,82944,5488,516096
node_54,conv5_2_b_part_5_o,1,82944,5488,516096
node_55,conv5_2_b_part_6_o,1,82944,5488,516096
node_56,conv5_2_b_part_7_o,1,82944,5488,516096
node_57,conv5_2_b_part_8_o,1,82944,5488,516096
node_58,conv5_2_b_part_9_o,1,82944,5488,516096
node_59,conv5_2_b_part_10_o,1,82944,1176,110592
node_59,conv5_2_c_part_1_o,2,50176,39592,413696
node_60,conv5_2_c_part_2_o,1,50176,50176,524288
node_61,conv5_2_c_part_3_o,1,50176,50176,524288
node_62,conv5_2_c_part_4_o,1,50176,50176,524288
node_63,conv5_2_c_part_5_o,1,50176,10584,110592
node_63,conv5_3_a_part_1_i,2,39592,50176,413696
node_64,conv5_3_a_part_2_i,1,50176,50176,524288
node_65,conv5_3_a_part_3_i,1,50176,50176,524288
node_66,conv5_3_a_part_4_i,1,50176,50176,524288
node_67,conv5_3_a_part_5_i,1,10584,50176,110592
node_67,conv5_3_b_part_1_o,2,82944,4312,405504
node_68,conv5_3_b_part_2_o,1,82944,5488,516096
node_69,conv5_3_b_part_3_o,1,82944,5488,516096
node_70,conv5_3_b_part_4_o,1,82944,5488,516096
node_71,conv5_3_b_part_5_o,1,82944,5488,516096
node_72,conv5_3_b_part_6_o,1,82944,5488,516096
node_73,conv5_3_b_part_7_o,1,82944,5488,516096
node_74,conv5_3_b_part_8_o,1,82944,5488,516096
node_75,conv5_3_b_part_9_o,1,82944,5488,516096
node_76,conv5_3_b_part_10_o,1,82944,1960,184320
node_76,conv5_3_c_part_1_o,2,50176,32536,339968
node_77,conv5_3_c_part_2_o,1,50176,50176,524288
node_78,conv5_3_c_part_3_o,1,50176,50176,524288
