Node Name, Layer Name, Layer Number, ifmap, ofmap, fmap
node_1,conv1,1,314646,1605632,18816
node_1,conv2_1_a,2,401408,401408,8192
node_1,conv2_1_b,3,430592,401408,73728
node_1,conv2_1_c,4,401408,1605632,32768
node_1,conv2_2_a,5,401408,401408,8192
node_1,conv2_2_b,6,430592,401408,73728
node_1,conv2_2_c,7,401408,1605632,32768
node_1,conv2_3_a,8,401408,401408,8192
node_1,conv2_3_b,9,430592,401408,73728
node_1,conv2_3_c,10,401408,1605632,32768
node_1,conv3_1_a,11,1548800,200704,65536
node_1,conv3_1_b,12,230400,200704,294912
node_1,conv3_1_c,13,200704,802816,131072
node_1,conv3_2_a,14,802816,200704,131072
node_1,conv3_2_b_part_1_o,15,230400,42336,62208
node_2,conv3_2_b_part_2_o,1,230400,158368,232704
node_2,conv3_2_c,2,200704,802816,131072
node_2,conv3_3_a,3,802816,200704,131072
node_2,conv3_3_b,4,230400,200704,294912
node_2,conv3_3_c,5,200704,802816,131072
node_2,conv3_4_a_part_1_i,6,782432,200704,127744
node_3,conv3_4_a_part_2_i,1,20384,200704,3328
node_3,conv3_4_b,2,230400,200704,294912
node_3,conv3_4_c,3,200704,802816,131072
node_3,conv4_1_a,4,746496,100352,262144
node_3,conv4_1_b_part_1_o,5,131072,30184,354816
node_4,conv4_1_b_part_2_o,1,131072,70168,824832
node_4,conv4_1_c_part_1_o,2,100352,171304,223744
node_5,conv4_1_c_part_2_o,1,100352,230104,300544
node_5,conv4_2_a,2,401408,100352,524288
node_5,conv4_2_b_part_1_o,3,131072,18816,221184
node_6,conv4_2_b_part_2_o,1,131072,81536,958464
node_6,conv4_2_c_part_1_o,2,100352,68992,90112
node_7,conv4_2_c_part_2_o,1,100352,332416,434176
node_7,conv4_3_a,2,401408,100352,524288
node_7,conv4_3_b_part_1_o,3,131072,7448,87552
node_8,conv4_3_b_part_2_o,1,131072,88984,1046016
node_9,conv4_3_b_part_3_o,1,131072,3920,46080
node_9,conv4_3_c,2,100352,401408,524288
node_9,conv4_4_a_part_1_i,3,366128,100352,478208
node_10,conv4_4_a_part_2_i,1,35280,100352,46080
node_10,conv4_4_b_part_1_o,2,131072,85064,999936
node_11,conv4_4_b_part_2_o,1,131072,15288,179712
node_11,conv4_4_c,2,100352,401408,524288
node_11,conv4_5_a_part_1_i,3,263816,100352,344576
node_12,conv4_5_a_part_2_i,1,137592,100352,179712
node_12,conv4_5_b_part_1_o,2,131072,73696,866304
node_13,conv4_5_b_part_2_o,1,131072,26656,313344
node_13,conv4_5_c,2,100352,401408,524288
node_13,conv4_6_a_part_1_i,3,161504,100352,210944
node_14,conv4_6_a_part_2_i,1,239904,100352,313344
node_14,conv4_6_b_part_1_o,2,131072,62328,732672
node_15,conv4_6_b_part_2_o,1,131072,38024,446976
node_15,conv4_6_c,2,100352,401408,524288
node_15,conv5_1_a_part_1_i,3,25350,50176,76800
node_16,conv5_1_a_part_2_i,1,320762,50176,971776
node_16,conv5_1_b_part_1_o,2,82944,784,73728
node_17,conv5_1_b_part_2_o,1,82944,11074,1041408
node_18,conv5_1_b_part_3_o,1,82944,11074,1041408
node_19,conv5_1_b_part_4_o,1,82944,11074,1041408
node_20,conv5_1_b_part_5_o,1,82944,11074,1041408
node_21,conv5_1_b_part_6_o,1,82944,5096,479232
node_21,conv5_1_c_part_1_o,2,50176,54488,569344
node_22,conv5_1_c_part_2_o,1,50176,100352,1048576
node_23,conv5_1_c_part_3_o,1,50176,45864,479232
node_23,conv5_2_a_part_1_i,2,54488,50176,569344
node_24,conv5_2_a_part_2_i,1,100352,50176,1048576
node_25,conv5_2_a_part_3_i,1,45864,50176,479232
node_25,conv5_2_b_part_1_o,2,82944,5978,562176
node_26,conv5_2_b_part_2_o,1,82944,11074,1041408
node_27,conv5_2_b_part_3_o,1,82944,11074,1041408
node_28,conv5_2_b_part_4_o,1,82944,11074,1041408
node_29,conv5_2_b_part_5_o,1,82944,10976,1032192
node_29,conv5_2_c_part_1_o,2,50176,1568,16384
node_30,conv5_2_c_part_2_o,1,50176,100352,1048576
node_31,conv5_2_c_part_3_o,1,50176,98784,1032192
node_31,conv5_3_a_part_1_i,2,1568,50176,16384
node_32,conv5_3_a_part_2_i,1,100352,50176,1048576
node_33,conv5_3_a_part_3_i,1,98784,50176,1032192
node_33,conv5_3_b_part_1_o,2,82944,98,9216
node_34,conv5_3_b_part_2_o,1,82944,11074,1041408
node_35,conv5_3_b_part_3_o,1,82944,11074,1041408
node_36,conv5_3_b_part_4_o,1,82944,11074,1041408
node_37,conv5_3_b_part_5_o,1,82944,11074,1041408
node_38,conv5_3_b_part_6_o,1,82944,5782,543744
node_38,conv5_3_c_part_1_o,2,50176,48314,504832
node_39,conv5_3_c_part_2_o,1,50176,100352,1048576
node_40,conv5_3_c_part_3_o,1,50176,52038,543744
node_40,fc1_part_1_i,2,504,2000,504000
node_41,fc1_part_2_i,1,1048,2000,1048000
node_42,fc1_part_3_i,1,1048,2000,1048000
node_43,fc1_part_4_i,1,1048,2000,1048000
node_44,fc1_part_5_i,1,448,2000,448000
