Node Name, Layer Name, Layer Number, ifmap, ofmap, fmap
node_1,conv01,1,306456,6422528,3456
node_1,conv02,2,6537728,6422528,73728
node_1,conv03,3,1663488,3211264,147456
node_1,conv04,4,3326976,3211264,294912
node_1,conv05,5,861184,1605632,589824
node_1,conv06_part_1_o,6,1722368,1342208,986112
node_2,conv06_part_2_o,1,1722368,263424,193536
node_2,conv07,2,1722368,1605632,1179648
node_2,conv08_part_1_o,3,460800,246176,723456
node_3,conv08_part_2_o,1,460800,556640,1635840
node_3,conv09_part_1_o,2,921600,78400,460800
node_4,conv09_part_2_o,1,921600,355936,2092032
node_5,conv09_part_3_o,1,921600,355936,2092032
node_6,conv09_part_4_o,1,921600,12544,73728
node_6,conv10_part_1_o,2,921600,343392,2018304
node_7,conv10_part_2_o,1,921600,355936,2092032
node_8,conv10_part_3_o,1,921600,103488,608256
node_8,conv11_part_1_o,2,262144,63112,1483776
node_9,conv11_part_2_o,1,262144,88984,2092032
node_10,conv11_part_3_o,1,262144,48608,1142784
node_10,conv12_part_1_o,2,262144,40376,949248
node_11,conv12_part_2_o,1,262144,88984,2092032
node_12,conv12_part_3_o,1,262144,71344,1677312
node_12,conv13_part_1_o,2,262144,17640,414720
node_13,conv13_part_2_o,1,262144,88984,2092032
node_14,conv13_part_3_o,1,262144,88984,2092032
node_15,conv13_part_4_o,1,262144,5096,119808
node_15,fc1_part_1_o,2,50176,78,1956864
node_16,fc1_part_2_o,1,50176,82,2057216
node_17,fc1_part_3_o,1,50176,82,2057216
node_18,fc1_part_4_o,1,50176,82,2057216
node_19,fc1_part_5_o,1,50176,82,2057216
node_20,fc1_part_6_o,1,50176,82,2057216
node_21,fc1_part_7_o,1,50176,82,2057216
node_22,fc1_part_8_o,1,50176,82,2057216
node_23,fc1_part_9_o,1,50176,82,2057216
node_24,fc1_part_10_o,1,50176,82,2057216
node_25,fc1_part_11_o,1,50176,82,2057216
node_26,fc1_part_12_o,1,50176,82,2057216
node_27,fc1_part_13_o,1,50176,82,2057216
node_28,fc1_part_14_o,1,50176,82,2057216
node_29,fc1_part_15_o,1,50176,82,2057216
node_30,fc1_part_16_o,1,50176,82,2057216
node_31,fc1_part_17_o,1,50176,82,2057216
node_32,fc1_part_18_o,1,50176,82,2057216
node_33,fc1_part_19_o,1,50176,82,2057216
node_34,fc1_part_20_o,1,50176,82,2057216
node_35,fc1_part_21_o,1,50176,82,2057216
node_36,fc1_part_22_o,1,50176,82,2057216
node_37,fc1_part_23_o,1,50176,82,2057216
