baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv1, 5.3361e-05,4.28825e-05,9.62435e-05,0.0002076383232,0.00080432529408,0.000305121153024,1.05167334686444e-05,0.000229782051,68644,0,0.00155738355477264
conv2, 0.0002352,0.000248626,0.000483826,0.00091521024,0.003545235456,0.001533875503104,8.00648372708031e-05,0.001400738722,648383,0,0.0074751247583748
conv3, 0.00011232,0.000316096,0.000428416,0.000437059584,0.0016930308096,0.001358208958464,0.000110092475033286,0.001533773257,904167,0,0.00513216508409729
conv4, 0.00016632,0.000474591,0.000640911,0.000647184384,0.0025069879296,0.002031882706944,0.000164650007269669,0.002268398916,1354223,2028,0.00761910394381367
conv5, 0.00011088,0.000321972,0.000432852,0.000431456256,0.0016713252864,0.001372272427008,0.000111100623515409,0.001535887873,910503,0,0.00512204246592341
fc1, 1.8432e-05,0.001351229,0.001369661,7.17225984e-05,0.00027783069696,0.004342241746944,0.000319440673840199,0.012851036669,2524494,256,0.0178622723851442
fc2, 8.192e-06,0.000502801,0.000510993,3.18767104e-05,0.00012348030976,0.001620003151872,0.000126733376208728,0.003615097723,1052927,256,0.00551719127124073
fc3, 2.048e-06,8.9297e-05,9.1345e-05,7.9691776e-06,3.087007744e-05,0.00028959141888,3.1318202917192e-05,0.000415538649,260159,0,0.000775287525837192
Total,0.000706753,0.0033474945,0.0040542475,0.0027501172736,0.01065308585984,0.01285319706624,0.00095391692952393,0.02385025386,7723500,2540,0.0510605709892039
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 17.4324088502244,82.5675911497756,100,26.2496146709247,25.172450713404,48.5779346156713,100,1,1,1,0.0510605709892039
rram_apr_half_lat
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv1, 5.3361e-05,1.94045e-05,7.27655e-05,0.0002076383232,0.00080432529408,0.000230688755712,1.05167334589767e-05,1.40582912000415e-05,68644,0,0.00126722739765102
conv2, 0.0002352,5.8298e-05,0.000293498,0.00091521024,0.003545235456,0.000930477883392,8.00648371924306e-05,0.000132788838400158,648383,0,0.00560377725498459
conv3, 0.00011232,3.9634e-05,0.000151954,0.000437059584,0.0016930308096,0.000481740374016,0.000110092474919446,0.000185173401600086,904167,0,0.00290709664413553
conv4, 0.00016632,6.928e-05,0.0002356,0.000647184384,0.0025069879296,0.0007469236224,0.000164650007102771,0.000278123622400137,1354223,2028,0.00434386956550291
conv5, 0.00011088,4.045e-05,0.00015133,0.000431456256,0.0016713252864,0.00047976210432,0.000111100623399485,0.000186471014400086,910503,0,0.00288011528451957
fc1, 1.8432e-05,0.000212989,0.000231421,7.17225984e-05,0.00027783069696,0.000733674921984,0.000319440673371499,0.0005171146752002,2524494,256,0.0019197835659157
fc2, 8.192e-06,5.7124e-05,6.5316e-05,3.18767104e-05,0.00012348030976,0.000207071576064,0.000126733376025209,0.000215737753600055,1052927,256,0.000704899725849264
fc3, 2.048e-06,4.119e-06,6.167e-06,7.9691776e-06,3.087007744e-05,1.9551264768e-05,3.13182028821178e-05,5.32805632000046e-05,260159,0,0.000142989285890122
Total,0.000706753,0.0005012985,0.0012080515,0.0027501172736,0.01065308585984,0.003829890502656,0.000953916928351935,0.00158274816000077,7723500,2540,0.0197697587244487
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
rram_apr_half_lat, 17.4324088502244,12.3647729942486,29.797181844473,26.2496146709247,7.50068091378332,4.96795284347495,38.718248428183,3.35602207356226,2.58276146415782,8.66780448445962,0.0197697587244487
