baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv1, 5.3361e-05,4.28825e-05,9.62435e-05,0.0002076383232,0.00080432529408,0.000305121153024,1.05167334686444e-05,0.000229782051,68644,0,0.00155738355477264
conv2, 0.0002352,0.000248626,0.000483826,0.00091521024,0.003545235456,0.001533875503104,8.00648372708031e-05,0.001400738722,648383,0,0.0074751247583748
conv3, 0.00011232,0.000316096,0.000428416,0.000437059584,0.0016930308096,0.001358208958464,0.000110092475033286,0.001533773257,904167,0,0.00513216508409729
conv4, 0.00016632,0.000474591,0.000640911,0.000647184384,0.0025069879296,0.002031882706944,0.000164650007269669,0.002268398916,1354223,2028,0.00761910394381367
conv5, 0.00011088,0.000321972,0.000432852,0.000431456256,0.0016713252864,0.001372272427008,0.000111100623515409,0.001535887873,910503,0,0.00512204246592341
fc1, 1.8432e-05,0.001351229,0.001369661,7.17225984e-05,0.00027783069696,0.004342241746944,0.000319440673840199,0.012851036669,2524494,256,0.0178622723851442
fc2, 8.192e-06,0.000502801,0.000510993,3.18767104e-05,0.00012348030976,0.001620003151872,0.000126733376208728,0.003615097723,1052927,256,0.00551719127124073
fc3, 2.048e-06,8.9297e-05,9.1345e-05,7.9691776e-06,3.087007744e-05,0.00028959141888,3.1318202917192e-05,0.000415538649,260159,0,0.000775287525837192
Total,0.000706753,0.0033474945,0.0040542475,0.0027501172736,0.01065308585984,0.01285319706624,0.00095391692952393,0.02385025386,7723500,2540,0.0510605709892039
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 17.4324088502244,82.5675911497756,100,26.2496146709247,25.172450713404,48.5779346156713,100,1,1,1,0.0510605709892039
rram_apr_zero_lat
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv1, 5.3361e-05,1.93845e-05,7.27455e-05,0.0002076383232,0.00080432529408,0.000230625349632,1.05167334589685e-05,1.40582912000415e-05,68644,0,0.00126716399157101
conv2, 0.0002352,3.828e-05,0.00027348,0.00091521024,0.003545235456,0.00086701473792,8.00648371841877e-05,0.00013278883840014,648383,0,0.00554031410950433
conv3, 0.00011232,1.9616e-05,0.000131936,0.000437059584,0.0016930308096,0.000418277228544,0.000110092474911203,0.000185173401600068,904167,0,0.00284363349865527
conv4, 0.00016632,2.9256e-05,0.000195576,0.000647184384,0.0025069879296,0.000620035375104,0.00016465000708629,0.000278123622400101,1354223,2028,0.00421698131819039
conv5, 0.00011088,2.0432e-05,0.000131312,0.000431456256,0.0016713252864,0.000416298958848,0.000111100623391242,0.000186471014400068,910503,0,0.00281665213903931
fc1, 1.8432e-05,7.083e-05,8.9262e-05,7.17225984e-05,0.00027783069696,0.000282987675648,0.000319440673312961,0.000517114675200072,2524494,256,0.00146909631952103
fc2, 8.192e-06,1.6576e-05,2.4768e-05,3.18767104e-05,0.00012348030976,7.8522089472e-05,0.000126733376008512,0.000215737753600019,1052927,256,0.000576350239240531
fc3, 2.048e-06,4.099e-06,6.147e-06,7.9691776e-06,3.087007744e-05,1.9487858688e-05,3.13182028821095e-05,5.32805632000046e-05,260159,0,0.000142925879810114
Total,0.000706753,0.0002184735,0.0009252265,0.0027501172736,0.01065308585984,0.002933249273856,0.000953916928235474,0.00158274816000051,7723500,2540,0.018873117495532
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
rram_apr_zero_lat, 17.4324088502244,5.38875586653257,22.8211647167569,26.2496146709247,5.74464644055037,4.96795284324637,36.9622139547214,4.38189729758065,2.7054656445228,11.8550725964317,0.018873117495532
