baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv1, 5.3361e-05,4.21655e-05,9.55265e-05,0.0002076383232,0.00080432529408,0.000302848045056,1.05167334683491e-05,0.000490413559,68644,0,0.00181574195480435
conv2, 0.0002352,0.000244217,0.000479417,0.00091521024,0.003545235456,0.001519897632768,8.00648372689876e-05,0.003096618137,648383,0,0.00915702630303699
conv3, 0.00011232,0.000310251,0.000422571,0.000437059584,0.0016930308096,0.001339678531584,0.000110092475030879,0.003401836917,904167,0,0.00698169831721488
conv4, 0.00016632,0.000465235,0.000631555,0.000647184384,0.0025069879296,0.00200222134272,0.000164650007265816,0.005129684862,1354223,2028,0.0104507285255858
conv5, 0.00011088,0.000315838,0.000426718,0.000431456256,0.0016713252864,0.001352825782272,0.000111100623512883,0.003486172575,910503,0,0.00705288052318488
fc1, 1.8432e-05,0.000816184,0.000834616,7.17225984e-05,0.00027783069696,0.002645986443264,0.00031944067361988,0.0120188343,2524494,256,0.0153338147122439
fc2, 8.192e-06,0.000335705,0.000343897,3.18767104e-05,0.00012348030976,0.001090258034688,0.000126733376139922,0.004355859641,1052927,256,0.00572820807198792
fc3, 2.048e-06,8.7291e-05,8.9339e-05,7.9691776e-06,3.087007744e-05,0.000283231789056,3.1318202916366e-05,0.000872079988,260159,0,0.00122546923501237
Total,0.000706753,0.0026168865,0.0033236395,0.0027501172736,0.01065308585984,0.010536947601408,0.000953916929223083,0.032851499979,7723500,2540,0.0577455676430711
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 21.2644301525481,78.7355698474519,100,23.2107912009559,18.247197198818,58.5420116002261,100,1,1,1,0.0577455676430711
rram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv1, 5.3361e-05,1.94125e-05,7.27735e-05,0.0002076383232,0.00080432529408,0.000230714118144,1.051673345898e-05,1.40582912000415e-05,68644,0,0.00126725276008302
conv2, 0.0002352,7.8304e-05,0.000313504,0.00091521024,0.003545235456,0.000993902985216,8.00648372006686e-05,0.000132788838400176,648383,0,0.00566720235681684
conv3, 0.00011232,5.964e-05,0.00017196,0.000437059584,0.0016930308096,0.00054516547584,0.000110092474927684,0.000185173401600104,904167,0,0.00297052174596779
conv4, 0.00016632,0.000109288,0.000275608,0.000647184384,0.0025069879296,0.000873761144832,0.000164650007119245,0.000278123622400173,1354223,2028,0.00447070708795142
conv5, 0.00011088,6.0456e-05,0.000171336,0.000431456256,0.0016713252864,0.000543187206144,0.000111100623407723,0.000186471014400104,910503,0,0.00294354038635183
fc1, 1.8432e-05,0.000354176,0.000372608,7.17225984e-05,0.00027783069696,0.001181280632832,0.000319440673429636,0.000517114675200327,2524494,256,0.00236738927682196
fc2, 8.192e-06,9.738e-05,0.000105572,3.18767104e-05,0.00012348030976,0.000334695333888,0.000126733376041785,0.000215737753600091,1052927,256,0.000832523483689876
fc3, 2.048e-06,4.127e-06,6.175e-06,7.9691776e-06,3.087007744e-05,1.95766272e-05,3.13182028821211e-05,5.32805632000046e-05,260159,0,0.000143014648322126
Total,0.000706753,0.0007827835,0.0014895365,0.0027501172736,0.01065308585984,0.004722283524096,0.000953916928467843,0.00158274816000102,7723500,2540,0.0206621517460049
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
rram_apr, 21.2644301525481,23.5519977422341,44.8164278947822,23.2107912009559,8.17774197542697,4.39283081283077,35.7813639892137,2.23132464360558,2.79475092202033,6.23599660504338,0.0206621517460049
