baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv1, 5.3361e-05,4.21655e-05,9.55265e-05,0.0002076383232,0.00080432529408,0.000302848045056,1.05167334683491e-05,0.000490413559,68644,0,0.00181574195480435
conv2, 0.0002352,0.000244217,0.000479417,0.00091521024,0.003545235456,0.001519897632768,8.00648372689876e-05,0.003096618137,648383,0,0.00915702630303699
conv3, 0.00011232,0.000310251,0.000422571,0.000437059584,0.0016930308096,0.001339678531584,0.000110092475030879,0.003401836917,904167,0,0.00698169831721488
conv4, 0.00016632,0.000465235,0.000631555,0.000647184384,0.0025069879296,0.00200222134272,0.000164650007265816,0.005129684862,1354223,2028,0.0104507285255858
conv5, 0.00011088,0.000315838,0.000426718,0.000431456256,0.0016713252864,0.001352825782272,0.000111100623512883,0.003486172575,910503,0,0.00705288052318488
fc1, 1.8432e-05,0.000816184,0.000834616,7.17225984e-05,0.00027783069696,0.002645986443264,0.00031944067361988,0.0120188343,2524494,256,0.0153338147122439
fc2, 8.192e-06,0.000335705,0.000343897,3.18767104e-05,0.00012348030976,0.001090258034688,0.000126733376139922,0.004355859641,1052927,256,0.00572820807198792
fc3, 2.048e-06,8.7291e-05,8.9339e-05,7.9691776e-06,3.087007744e-05,0.000283231789056,3.1318202916366e-05,0.000872079988,260159,0,0.00122546923501237
Total,0.000706753,0.0026168865,0.0033236395,0.0027501172736,0.01065308585984,0.010536947601408,0.000953916929223083,0.032851499979,7723500,2540,0.0577455676430711
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 21.2644301525481,78.7355698474519,100,23.2107912009559,18.247197198818,58.5420116002261,100,1,1,1,0.0577455676430711
rram_apr_2x_bw
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv1, 5.3361e-05,1.94125e-05,7.27735e-05,0.0002076383232,0.00080432529408,0.000230714118144,1.051673345898e-05,1.40582912000415e-05,68644,0,0.00126725276008302
conv2, 0.0002352,3.8375e-05,0.000273575,0.00091521024,0.003545235456,0.0008673159168,8.00648371842268e-05,0.00013278883840014,648383,0,0.00554061528838437
conv3, 0.00011232,1.9816e-05,0.000132136,0.000437059584,0.0016930308096,0.000418911289344,0.000110092474911285,0.000185173401600068,904167,0,0.00284426755945535
conv4, 0.00016632,2.9458e-05,0.000195778,0.000647184384,0.0025069879296,0.000620675776512,0.000164650007086373,0.000278123622400101,1354223,2028,0.00421762171959847
conv5, 0.00011088,2.0619e-05,0.000131499,0.000431456256,0.0016713252864,0.000416891805696,0.000111100623391319,0.000186471014400068,910503,0,0.00281724498588739
fc1, 1.8432e-05,7.479e-05,9.3222e-05,7.17225984e-05,0.00027783069696,0.000295542079488,0.000319440673314592,0.000517114675200076,2524494,256,0.00148165072336267
fc2, 8.192e-06,5.7688e-05,6.588e-05,3.18767104e-05,0.00012348030976,0.00020885962752,0.000126733376025441,0.000215737753600056,1052927,256,0.000706687777305497
fc3, 2.048e-06,4.127e-06,6.175e-06,7.9691776e-06,3.087007744e-05,1.95766272e-05,3.13182028821211e-05,5.32805632000046e-05,260159,0,0.000143014648322126
Total,0.000706753,0.0002642855,0.0009710385,0.0027501172736,0.01065308585984,0.003078487240704,0.000953916928254338,0.00158274816000056,7723500,2540,0.0190183554623989
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
rram_apr_2x_bw, 21.2644301525481,7.95168970641972,29.2161198589679,23.2107912009559,5.33112300450888,4.39283081246023,32.934745017925,3.42276799529576,3.03630709591266,10.3925747517793,0.0190183554623989
