baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv1, 5.3361e-05,4.21655e-05,9.55265e-05,0.0002076383232,0.00080432529408,0.000302848045056,1.05167334683491e-05,0.000490413559,68644,0,0.00181574195480435
conv2, 0.0002352,0.000244217,0.000479417,0.00091521024,0.003545235456,0.001519897632768,8.00648372689876e-05,0.003096618137,648383,0,0.00915702630303699
conv3, 0.00011232,0.000310251,0.000422571,0.000437059584,0.0016930308096,0.001339678531584,0.000110092475030879,0.003401836917,904167,0,0.00698169831721488
conv4, 0.00016632,0.000465235,0.000631555,0.000647184384,0.0025069879296,0.00200222134272,0.000164650007265816,0.005129684862,1354223,2028,0.0104507285255858
conv5, 0.00011088,0.000315838,0.000426718,0.000431456256,0.0016713252864,0.001352825782272,0.000111100623512883,0.003486172575,910503,0,0.00705288052318488
fc1, 1.8432e-05,0.000816184,0.000834616,7.17225984e-05,0.00027783069696,0.002645986443264,0.00031944067361988,0.0120188343,2524494,256,0.0153338147122439
fc2, 8.192e-06,0.000335705,0.000343897,3.18767104e-05,0.00012348030976,0.001090258034688,0.000126733376139922,0.004355859641,1052927,256,0.00572820807198792
fc3, 2.048e-06,8.7291e-05,8.9339e-05,7.9691776e-06,3.087007744e-05,0.000283231789056,3.1318202916366e-05,0.000872079988,260159,0,0.00122546923501237
Total,0.000706753,0.0026168865,0.0033236395,0.0027501172736,0.01065308585984,0.010536947601408,0.000953916929223083,0.032851499979,7723500,2540,0.0577455676430711
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 21.2644301525481,78.7355698474519,100,23.2107912009559,18.247197198818,58.5420116002261,100,1,1,1,0.0577455676430711
rram_apr_zero_lat
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv1, 5.3361e-05,1.93845e-05,7.27455e-05,0.0002076383232,0.00080432529408,0.000230625349632,1.05167334589685e-05,1.40582912000415e-05,68644,0,0.00126716399157101
conv2, 0.0002352,3.828e-05,0.00027348,0.00091521024,0.003545235456,0.00086701473792,8.00648371841877e-05,0.00013278883840014,648383,0,0.00554031410950433
conv3, 0.00011232,1.9616e-05,0.000131936,0.000437059584,0.0016930308096,0.000418277228544,0.000110092474911203,0.000185173401600068,904167,0,0.00284363349865527
conv4, 0.00016632,2.9256e-05,0.000195576,0.000647184384,0.0025069879296,0.000620035375104,0.00016465000708629,0.000278123622400101,1354223,2028,0.00421698131819039
conv5, 0.00011088,2.0432e-05,0.000131312,0.000431456256,0.0016713252864,0.000416298958848,0.000111100623391242,0.000186471014400068,910503,0,0.00281665213903931
fc1, 1.8432e-05,7.083e-05,8.9262e-05,7.17225984e-05,0.00027783069696,0.000282987675648,0.000319440673312961,0.000517114675200072,2524494,256,0.00146909631952103
fc2, 8.192e-06,1.6576e-05,2.4768e-05,3.18767104e-05,0.00012348030976,7.8522089472e-05,0.000126733376008512,0.000215737753600019,1052927,256,0.000576350239240531
fc3, 2.048e-06,4.099e-06,6.147e-06,7.9691776e-06,3.087007744e-05,1.9487858688e-05,3.13182028821095e-05,5.32805632000046e-05,260159,0,0.000142925879810114
Total,0.000706753,0.0002184735,0.0009252265,0.0027501172736,0.01065308585984,0.002933249273856,0.000953916928235474,0.00158274816000051,7723500,2540,0.018873117495532
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
rram_apr_zero_lat, 21.2644301525481,6.57332120405959,27.8377513566077,23.2107912009559,5.07960938575683,4.39283081242749,32.6832313991403,3.59224416940068,3.0596729796623,10.9910924214647,0.018873117495532
