baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
act_1, 3.2768e-05,0.003945289,0.003978057,0.0001275068416,0.00049392123904,0.012611650019328,0.00101031594403132,0.022867353711,8392959,2048,0.0371107477549993
act_2, 3.2768e-05,0.003945668,0.003978436,0.0001275068416,0.00049392123904,0.012612851564544,0.00101030545827148,0.022865240906,8392959,2048,0.0371098260094555
conv_1, 6.4e-08,1.1439e-05,1.1503e-05,2.490368e-07,9.6468992e-07,3.6468006912e-05,1.01966054447235e-05,5.0994508e-05,16399,0,9.88728470767235e-05
conv_2, 5.12e-07,8.956e-05,9.0072e-05,1.9922944e-06,7.71751936e-06,0.000285555621888,8.15417165169841e-05,0.000332643997,131087,0,0.000709451149164984
embed1, 3.88e-07,6.7915e-05,6.8303e-05,1.5097856e-06,5.84843264e-06,0.000216541274112,6.17080320280456e-05,0.000250016185,99222,0,0.000535623709380046
output, 4.096e-06,0.000180593,0.000184689,1.59383552e-05,6.174015488e-05,0.000585520275456,6.40862029552072e-05,0.000797772471,532543,0,0.00152505745949121
proj_1, 4.096e-06,0.000180593,0.000184689,1.59383552e-05,6.174015488e-05,0.000585520275456,6.40862029552072e-05,0.000797772471,532543,0,0.00152505745949121
Total,7.4692e-05,0.008421057,0.008495749,0.0002906415104,0.00112585342976,0.026934107037696,0.00230224016220297,0.047961794249,18097712,4096,0.078614636389059
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 0.879169099746238,99.1208309002538,100,1.80182088886076,34.2609319012821,63.9372472098572,100,1,1,1,0.078614636389059
baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
act_1, 3.2768e-05,0.003945289,0.003978057,0.0001275068416,0.00049392123904,0.012611650019328,0.00101031594403132,0.022867353711,8392959,2048,0.0371107477549993
act_2, 3.2768e-05,0.003945668,0.003978436,0.0001275068416,0.00049392123904,0.012612851564544,0.00101030545827148,0.022865240906,8392959,2048,0.0371098260094555
conv_1, 6.4e-08,1.1439e-05,1.1503e-05,2.490368e-07,9.6468992e-07,3.6468006912e-05,1.01966054447235e-05,5.0994508e-05,16399,0,9.88728470767235e-05
conv_2, 5.12e-07,8.956e-05,9.0072e-05,1.9922944e-06,7.71751936e-06,0.000285555621888,8.15417165169841e-05,0.000332643997,131087,0,0.000709451149164984
embed1, 3.88e-07,6.7915e-05,6.8303e-05,1.5097856e-06,5.84843264e-06,0.000216541274112,6.17080320280456e-05,0.000250016185,99222,0,0.000535623709380046
output, 4.096e-06,0.000180593,0.000184689,1.59383552e-05,6.174015488e-05,0.000585520275456,6.40862029552072e-05,0.000797772471,532543,0,0.00152505745949121
proj_1, 4.096e-06,0.000180593,0.000184689,1.59383552e-05,6.174015488e-05,0.000585520275456,6.40862029552072e-05,0.000797772471,532543,0,0.00152505745949121
Total,7.4692e-05,0.008421057,0.008495749,0.0002906415104,0.00112585342976,0.026934107037696,0.00230224016220297,0.047961794249,18097712,4096,0.078614636389059
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 0.879169099746238,99.1208309002538,100,1.80182088886076,34.2609319012821,63.9372472098572,100,1,1,1,0.078614636389059
