baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
act_1, 3.2768e-05,0.003945289,0.003978057,0.0001275068416,0.00049392123904,0.012611650019328,0.00101031594403132,0.022867353711,8392959,2048,0.0371107477549993
act_2, 3.2768e-05,0.003945668,0.003978436,0.0001275068416,0.00049392123904,0.012612851564544,0.00101030545827148,0.022865240906,8392959,2048,0.0371098260094555
conv_1, 6.4e-08,1.1439e-05,1.1503e-05,2.490368e-07,9.6468992e-07,3.6468006912e-05,1.01966054447235e-05,5.0994508e-05,16399,0,9.88728470767235e-05
conv_2, 5.12e-07,8.956e-05,9.0072e-05,1.9922944e-06,7.71751936e-06,0.000285555621888,8.15417165169841e-05,0.000332643997,131087,0,0.000709451149164984
embed1, 3.88e-07,6.7915e-05,6.8303e-05,1.5097856e-06,5.84843264e-06,0.000216541274112,6.17080320280456e-05,0.000250016185,99222,0,0.000535623709380046
output, 4.096e-06,0.000180593,0.000184689,1.59383552e-05,6.174015488e-05,0.000585520275456,6.40862029552072e-05,0.000797772471,532543,0,0.00152505745949121
proj_1, 4.096e-06,0.000180593,0.000184689,1.59383552e-05,6.174015488e-05,0.000585520275456,6.40862029552072e-05,0.000797772471,532543,0,0.00152505745949121
Total,7.4692e-05,0.008421057,0.008495749,0.0002906415104,0.00112585342976,0.026934107037696,0.00230224016220297,0.047961794249,18097712,4096,0.078614636389059
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 0.879169099746238,99.1208309002538,100,1.80182088886076,34.2609319012821,63.9372472098572,100,1,1,1,0.078614636389059
rram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
act_1, 3.2768e-05,0.000539075,0.000571843,0.0001275068416,0.00049392123904,0.001812916150272,0.00101031594262872,0.0017196644352005,8392959,2048,0.00516432460874122
act_2, 3.2768e-05,0.000539747,0.000572515,0.0001275068416,0.00049392123904,0.00181504659456,0.001010305456869,0.0017196644352005,8392959,2048,0.0051664445672695
conv_1, 6.4e-08,8.477e-06,8.541e-06,2.490368e-07,9.6468992e-07,2.7077566464e-05,1.01966054435038e-05,3.35851520000766e-06,16399,0,4.18464138275115e-05
conv_2, 5.12e-07,6.7613e-05,6.8125e-05,1.9922944e-06,7.71751936e-06,0.00021597696,8.15417165079468e-05,2.68466176000611e-05,131087,0,0.000334075107868008
embed1, 3.88e-07,5.1171e-05,5.1559e-05,1.5097856e-06,5.84843264e-06,0.000163457703936,6.17080320211509e-05,2.03206656000462e-05,99222,0,0.000252844619797197
output, 4.096e-06,8.351e-06,1.2447e-05,1.59383552e-05,6.174015488e-05,3.9460773888e-05,6.40862028842821e-05,0.000109064806400009,532543,0,0.000290290293252291
proj_1, 4.096e-06,8.351e-06,1.2447e-05,1.59383552e-05,6.174015488e-05,3.9460773888e-05,6.40862028842821e-05,0.000109064806400009,532543,0,0.000290290293252291
Total,7.4692e-05,0.001222785,0.001297477,0.0002906415104,0.00112585342976,0.004113396523008,0.00230224015923889,0.00370798428160113,18097712,4096,0.011540115904008
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
rram_apr, 0.879169099746238,14.3929040276496,15.2720731273958,1.80182088886076,5.23235457409109,7.64517234563777,14.6793478085896,6.54789950033796,6.81229175191864,44.6062017585445,0.011540115904008
