baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
act_1, 3.2768e-05,0.002646377,0.002679145,0.0001275068416,0.00049392123904,0.00849370411008,0.00101031594349646,0.035733562214,8392959,2048,0.0458590103482165
act_2, 3.2768e-05,0.002646374,0.002679142,0.0001275068416,0.00049392123904,0.008493694599168,0.00101030545773646,0.035737374169,8392959,2048,0.0458628023065445
conv_1, 6.4e-08,1.1291e-05,1.1355e-05,2.490368e-07,9.6468992e-07,3.599880192e-05,1.01966054446625e-05,0.000109019975,16399,0,0.000156429109084663
conv_2, 5.12e-07,8.9545e-05,9.0057e-05,1.9922944e-06,7.71751936e-06,0.000285508067328,8.15417165169779e-05,0.000718631492,131087,0,0.00109539108960498
embed1, 3.88e-07,6.7915e-05,6.8303e-05,1.5097856e-06,5.84843264e-06,0.000216541274112,6.17080320280456e-05,0.000532661947,99222,0,0.000818269471380046
output, 4.096e-06,0.000176536,0.000180632,1.59383552e-05,6.174015488e-05,0.000572658352128,6.40862029535366e-05,0.001759025609,532543,0,0.00247344867416154
proj_1, 4.096e-06,0.000176536,0.000180632,1.59383552e-05,6.174015488e-05,0.000572658352128,6.40862029535366e-05,0.001759025609,532543,0,0.00247344867416154
Total,7.4692e-05,0.005814574,0.005889266,0.0002906415104,0.00112585342976,0.018670763556864,0.00230224016112968,0.076349301015,18097712,4096,0.0987387996731537
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 1.26827349961778,98.7317265003822,100,1.43458796830516,18.9092470423665,79.6561649893283,100,1,1,1,0.0987387996731537
baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
act_1, 3.2768e-05,0.002646377,0.002679145,0.0001275068416,0.00049392123904,0.00849370411008,0.00101031594349646,0.035733562214,8392959,2048,0.0458590103482165
act_2, 3.2768e-05,0.002646374,0.002679142,0.0001275068416,0.00049392123904,0.008493694599168,0.00101030545773646,0.035737374169,8392959,2048,0.0458628023065445
conv_1, 6.4e-08,1.1291e-05,1.1355e-05,2.490368e-07,9.6468992e-07,3.599880192e-05,1.01966054446625e-05,0.000109019975,16399,0,0.000156429109084663
conv_2, 5.12e-07,8.9545e-05,9.0057e-05,1.9922944e-06,7.71751936e-06,0.000285508067328,8.15417165169779e-05,0.000718631492,131087,0,0.00109539108960498
embed1, 3.88e-07,6.7915e-05,6.8303e-05,1.5097856e-06,5.84843264e-06,0.000216541274112,6.17080320280456e-05,0.000532661947,99222,0,0.000818269471380046
output, 4.096e-06,0.000176536,0.000180632,1.59383552e-05,6.174015488e-05,0.000572658352128,6.40862029535366e-05,0.001759025609,532543,0,0.00247344867416154
proj_1, 4.096e-06,0.000176536,0.000180632,1.59383552e-05,6.174015488e-05,0.000572658352128,6.40862029535366e-05,0.001759025609,532543,0,0.00247344867416154
Total,7.4692e-05,0.005814574,0.005889266,0.0002906415104,0.00112585342976,0.018670763556864,0.00230224016112968,0.076349301015,18097712,4096,0.0987387996731537
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 1.26827349961778,98.7317265003822,100,1.43458796830516,18.9092470423665,79.6561649893283,100,1,1,1,0.0987387996731537
