baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
act_1, 3.2768e-05,0.002646377,0.002679145,0.0001275068416,0.00049392123904,0.00849370411008,0.00101031594349646,0.035733562214,8392959,2048,0.0458590103482165
act_2, 3.2768e-05,0.002646374,0.002679142,0.0001275068416,0.00049392123904,0.008493694599168,0.00101030545773646,0.035737374169,8392959,2048,0.0458628023065445
conv_1, 6.4e-08,1.1291e-05,1.1355e-05,2.490368e-07,9.6468992e-07,3.599880192e-05,1.01966054446625e-05,0.000109019975,16399,0,0.000156429109084663
conv_2, 5.12e-07,8.9545e-05,9.0057e-05,1.9922944e-06,7.71751936e-06,0.000285508067328,8.15417165169779e-05,0.000718631492,131087,0,0.00109539108960498
embed1, 3.88e-07,6.7915e-05,6.8303e-05,1.5097856e-06,5.84843264e-06,0.000216541274112,6.17080320280456e-05,0.000532661947,99222,0,0.000818269471380046
output, 4.096e-06,0.000176536,0.000180632,1.59383552e-05,6.174015488e-05,0.000572658352128,6.40862029535366e-05,0.001759025609,532543,0,0.00247344867416154
proj_1, 4.096e-06,0.000176536,0.000180632,1.59383552e-05,6.174015488e-05,0.000572658352128,6.40862029535366e-05,0.001759025609,532543,0,0.00247344867416154
Total,7.4692e-05,0.005814574,0.005889266,0.0002906415104,0.00112585342976,0.018670763556864,0.00230224016112968,0.076349301015,18097712,4096,0.0987387996731537
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 1.26827349961778,98.7317265003822,100,1.43458796830516,18.9092470423665,79.6561649893283,100,1,1,1,0.0987387996731537
rram_apr_half_lat
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
act_1, 3.2768e-05,0.000533276,0.000566044,0.0001275068416,0.00049392123904,0.001794531557376,0.00101031594262634,0.00171966443520049,8392959,2048,0.00514594001584283
act_2, 3.2768e-05,0.000533821,0.000566589,0.0001275068416,0.00049392123904,0.001796259373056,0.00101030545686656,0.00171966443520049,8392959,2048,0.00514765734576305
conv_1, 6.4e-08,8.469e-06,8.533e-06,2.490368e-07,9.6468992e-07,2.7052204032e-05,1.01966054435005e-05,3.35851520000765e-06,16399,0,4.18210513955082e-05
conv_2, 5.12e-07,6.7605e-05,6.8117e-05,1.9922944e-06,7.71751936e-06,0.000215951597568,8.15417165079435e-05,2.68466176000611e-05,131087,0,0.000334049745436005
embed1, 3.88e-07,5.1163e-05,5.1551e-05,1.5097856e-06,5.84843264e-06,0.000163432341504,6.17080320211476e-05,2.03206656000462e-05,99222,0,0.000252819257365194
output, 4.096e-06,8.343e-06,1.2439e-05,1.59383552e-05,6.174015488e-05,3.9435411456e-05,6.40862028842788e-05,0.000109064806400009,532543,0,0.000290264930820288
proj_1, 4.096e-06,8.343e-06,1.2439e-05,1.59383552e-05,6.174015488e-05,3.9435411456e-05,6.40862028842788e-05,0.000109064806400009,532543,0,0.000290264930820288
Total,7.4692e-05,0.00121102,0.001285712,0.0002906415104,0.00112585342976,0.004076097896448,0.00230224015923405,0.00370798428160111,18097712,4096,0.0115028172774432
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
rram_apr_half_lat, 1.26827349961778,20.5631737469491,21.8314472465669,1.43458796830516,4.12816229277725,6.0869936243202,11.6497438854026,4.58054836541932,8.58387969587058,39.3188761098761,0.0115028172774432
