baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
act_1, 3.2768e-05,0.002646377,0.002679145,0.0001275068416,0.00049392123904,0.00849370411008,0.00101031594349646,0.035733562214,8392959,2048,0.0458590103482165
act_2, 3.2768e-05,0.002646374,0.002679142,0.0001275068416,0.00049392123904,0.008493694599168,0.00101030545773646,0.035737374169,8392959,2048,0.0458628023065445
conv_1, 6.4e-08,1.1291e-05,1.1355e-05,2.490368e-07,9.6468992e-07,3.599880192e-05,1.01966054446625e-05,0.000109019975,16399,0,0.000156429109084663
conv_2, 5.12e-07,8.9545e-05,9.0057e-05,1.9922944e-06,7.71751936e-06,0.000285508067328,8.15417165169779e-05,0.000718631492,131087,0,0.00109539108960498
embed1, 3.88e-07,6.7915e-05,6.8303e-05,1.5097856e-06,5.84843264e-06,0.000216541274112,6.17080320280456e-05,0.000532661947,99222,0,0.000818269471380046
output, 4.096e-06,0.000176536,0.000180632,1.59383552e-05,6.174015488e-05,0.000572658352128,6.40862029535366e-05,0.001759025609,532543,0,0.00247344867416154
proj_1, 4.096e-06,0.000176536,0.000180632,1.59383552e-05,6.174015488e-05,0.000572658352128,6.40862029535366e-05,0.001759025609,532543,0,0.00247344867416154
Total,7.4692e-05,0.005814574,0.005889266,0.0002906415104,0.00112585342976,0.018670763556864,0.00230224016112968,0.076349301015,18097712,4096,0.0987387996731537
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 1.26827349961778,98.7317265003822,100,1.43458796830516,18.9092470423665,79.6561649893283,100,1,1,1,0.0987387996731537
rram_apr_zero_lat
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
act_1, 3.2768e-05,0.00052491,0.000557678,0.0001275068416,0.00049392123904,0.001768008794112,0.00101031594262289,0.00171966443520049,8392959,2048,0.00511941725257538
act_2, 3.2768e-05,0.000525118,0.000557886,0.0001275068416,0.00049392123904,0.001768668217344,0.00101030545686298,0.00171966443520049,8392959,2048,0.00512006619004747
conv_1, 6.4e-08,8.449e-06,8.513e-06,2.490368e-07,9.6468992e-07,2.6988797952e-05,1.01966054434923e-05,3.35851520000763e-06,16399,0,4.17576453154999e-05
conv_2, 5.12e-07,6.7585e-05,6.8097e-05,1.9922944e-06,7.71751936e-06,0.000215888191488,8.15417165079353e-05,2.68466176000611e-05,131087,0,0.000333986339355996
embed1, 3.88e-07,5.1143e-05,5.1531e-05,1.5097856e-06,5.84843264e-06,0.000163368935424,6.17080320211393e-05,2.03206656000462e-05,99222,0,0.000252755851285186
output, 4.096e-06,8.323e-06,1.2419e-05,1.59383552e-05,6.174015488e-05,3.9372005376e-05,6.40862028842706e-05,0.000109064806400009,532543,0,0.00029020152474028
proj_1, 4.096e-06,8.323e-06,1.2419e-05,1.59383552e-05,6.174015488e-05,3.9372005376e-05,6.40862028842706e-05,0.000109064806400009,532543,0,0.00029020152474028
Total,7.4692e-05,0.001193851,0.001268543,0.0002906415104,0.00112585342976,0.004021666947072,0.00230224015922698,0.00370798428160111,18097712,4096,0.0114483863280601
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
rram_apr_zero_lat, 1.26827349961778,20.2716433592913,21.5399168589091,1.43458796830516,4.07303609157147,6.08699362431304,11.5946176841897,4.64254345339496,8.62469144940925,40.0405048260064,0.0114483863280601
