lstm_langmod_16_1_rram_mem_4_node_388_dummy
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv_part_1, 6.4e-08,5.72e-07,6.36e-07,2.490368e-07,9.6468992e-07,2.016313344e-06,2.26355456024871e-06,1.73649920000054e-06,8479,0,7.23009382424925e-06
Total,6.4e-08,5.72e-07,6.36e-07,2.490368e-07,9.6468992e-07,2.016313344e-06,2.26355456024871e-06,1.73649920000054e-06,8479,0,7.23009382424925e-06
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
lstm_langmod_16_1_rram_mem_4_node_388_dummy, 10.062893081761,89.937106918239,100,16.7871503400031,27.8877894673707,55.3250601926262,100,1,1,1,7.23009382424925e-06
lstm_langmod_16_1_rram_mem_4_node_388_dummy
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv_part_1, 6.4e-08,5.72e-07,6.36e-07,2.490368e-07,9.6468992e-07,2.016313344e-06,2.26355456024871e-06,1.73649920000054e-06,8479,0,7.23009382424925e-06
Total,6.4e-08,5.72e-07,6.36e-07,2.490368e-07,9.6468992e-07,2.016313344e-06,2.26355456024871e-06,1.73649920000054e-06,8479,0,7.23009382424925e-06
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
lstm_langmod_16_1_rram_mem_4_node_388_dummy, 10.062893081761,89.937106918239,100,16.7871503400031,27.8877894673707,55.3250601926262,100,1,1,1,7.23009382424925e-06
