lstm_langmod_1_16_1_rram_mem_0.25_node_2_dummy
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv_part_2, 8e-09,3.8e-08,4.6e-08,3.11296e-08,1.2058624e-07,1.45833984e-07,2.13555200172946e-08,1.02400000000378e-08,50,0,3.29145344017332e-07
Total,8e-09,3.8e-08,4.6e-08,3.11296e-08,1.2058624e-07,1.45833984e-07,2.13555200172946e-08,1.02400000000378e-08,50,0,3.29145344017332e-07
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
lstm_langmod_1_16_1_rram_mem_0.25_node_2_dummy, 17.3913043478261,82.6086956521739,100,46.0938739549695,44.3068652346851,9.59926081034542,100,1,1,1,3.29145344017332e-07
lstm_langmod_1_16_1_rram_mem_0.25_node_2_dummy
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv_part_2, 8e-09,3.8e-08,4.6e-08,3.11296e-08,1.2058624e-07,1.45833984e-07,2.13555200172946e-08,1.02400000000378e-08,50,0,3.29145344017332e-07
Total,8e-09,3.8e-08,4.6e-08,3.11296e-08,1.2058624e-07,1.45833984e-07,2.13555200172946e-08,1.02400000000378e-08,50,0,3.29145344017332e-07
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
lstm_langmod_1_16_1_rram_mem_0.25_node_2_dummy, 17.3913043478261,82.6086956521739,100,46.0938739549695,44.3068652346851,9.59926081034542,100,1,1,1,3.29145344017332e-07
