lstm_langmod_1_16_1_rram_mem_128_node_1
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
act_2_part_1_o, 0.00012288,0.000959611,0.001082491,0.000478150656,0.0018522046464,0.003431825547264,0.00179984914730044,0.00301120645120092,14689499,7284,0.0105732364481654
output_part_1_i, 1.4592e-05,7.844e-06,2.2436e-05,5.67803904e-05,0.00021994930176,7.1128940544e-05,5.97541504062343e-05,0.000101462630400014,495423,0,0.000509075413510248
Total,0.000137472,0.000967455,0.001104927,0.0005349310464,0.00207215394816,0.003502954487808,0.00185960329770667,0.00311266908160093,15184922,7284,0.0110823118616756
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
lstm_langmod_1_16_1_rram_mem_128_node_1, 12.4417269195159,87.558273080484,100,23.5247394866744,31.6085175325355,44.8667429807901,100,1,1,1,0.0110823118616756
lstm_langmod_1_16_1_rram_mem_128_node_1
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
act_2_part_1_o, 0.00012288,0.000959611,0.001082491,0.000478150656,0.0018522046464,0.003431825547264,0.00179984914730044,0.00301120645120092,14689499,7284,0.0105732364481654
output_part_1_i, 1.4592e-05,7.844e-06,2.2436e-05,5.67803904e-05,0.00021994930176,7.1128940544e-05,5.97541504062343e-05,0.000101462630400014,495423,0,0.000509075413510248
Total,0.000137472,0.000967455,0.001104927,0.0005349310464,0.00207215394816,0.003502954487808,0.00185960329770667,0.00311266908160093,15184922,7284,0.0110823118616756
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
lstm_langmod_1_16_1_rram_mem_128_node_1, 12.4417269195159,87.558273080484,100,23.5247394866744,31.6085175325355,44.8667429807901,100,1,1,1,0.0110823118616756
