resnet50_16_1_rram_mem_2_node_12
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv5_1_c_part_2_o, 7.168e-06,5.9624e-05,6.6792e-05,2.78921216e-05,0.00010804527104,0.000211750944768,0.000109241704986028,0.000186114380800057,906206,1363,0.000643044423194085
conv5_2_a_part_1_i, 2.5728e-05,5.3501e-05,7.9229e-05,0.0001001127936,0.00038780534784,0.000251180015616,0.000100408276507328,0.00016983572480006,829276,0,0.00100934215836339
Total,3.2896e-05,0.000113125,0.000146021,0.0001280049152,0.00049585061888,0.000462930960384,0.000209649981493356,0.000355950105600117,1735482,1363,0.00165238658155747
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
resnet50_16_1_rram_mem_2_node_12, 22.5282664822183,77.4717335177817,100,37.754817246941,28.0158992787063,34.2292834743527,100,1,1,1,0.00165238658155747
resnet50_16_1_rram_mem_2_node_12
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv5_1_c_part_2_o, 7.168e-06,5.9624e-05,6.6792e-05,2.78921216e-05,0.00010804527104,0.000211750944768,0.000109241704986028,0.000186114380800057,906206,1363,0.000643044423194085
conv5_2_a_part_1_i, 2.5728e-05,5.3501e-05,7.9229e-05,0.0001001127936,0.00038780534784,0.000251180015616,0.000100408276507328,0.00016983572480006,829276,0,0.00100934215836339
Total,3.2896e-05,0.000113125,0.000146021,0.0001280049152,0.00049585061888,0.000462930960384,0.000209649981493356,0.000355950105600117,1735482,1363,0.00165238658155747
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
resnet50_16_1_rram_mem_2_node_12, 22.5282664822183,77.4717335177817,100,37.754817246941,28.0158992787063,34.2292834743527,100,1,1,1,0.00165238658155747
