baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv1, 5.7624e-05,3.5862e-05,9.3486e-05,0.0002242265088,0.00086858268672,0.000296379039744,1.51053542666312e-05,0.000232353755,74891,0,0.00163664734453063
conv2_1_a, 6.272e-06,1.0205e-05,1.6477e-05,2.44056064e-05,9.453961216e-05,5.2237099008e-05,5.02515968549351e-06,5.5174521e-05,29183,0,0.000231381998253493
conv2_1_b, 5.733e-05,4.1919e-05,9.9249e-05,0.000223082496,0.0008641511424,0.000314649501696,1.17533721890648e-05,0.000273928611,84263,0,0.00168756512328506
conv2_1_c, 2.5088e-05,2.8824e-05,5.3912e-05,9.76224256e-05,0.00037815844864,0.000170917429248,1.55581056170344e-05,0.000188327577,79103,0,0.000850583986105034
conv2_2_a, 6.272e-06,1.0205e-05,1.6477e-05,2.44056064e-05,9.453961216e-05,5.2237099008e-05,5.02515968549351e-06,5.5174521e-05,29183,0,0.000231381998253493
conv2_2_b, 5.733e-05,4.1939e-05,9.9269e-05,0.000223082496,0.0008641511424,0.000314712907776,1.1753372189073e-05,0.000273928085,84263,0,0.00168762800336507
conv2_2_c, 2.5088e-05,2.8824e-05,5.3912e-05,9.76224256e-05,0.00037815844864,0.000170917429248,1.55581056170344e-05,0.000188327577,79103,0,0.000850583986105034
conv2_3_a, 6.272e-06,1.0205e-05,1.6477e-05,2.44056064e-05,9.453961216e-05,5.2237099008e-05,5.02515968549351e-06,5.5174521e-05,29183,0,0.000231381998253493
conv2_3_b, 5.733e-05,4.1919e-05,9.9249e-05,0.000223082496,0.0008641511424,0.000314649501696,1.17533721890648e-05,0.000273919496,84263,0,0.00168755600828506
conv2_3_c, 2.5088e-05,2.8824e-05,5.3912e-05,9.76224256e-05,0.00037815844864,0.000170917429248,1.55581056170344e-05,0.000188327577,79103,0,0.000850583986105034
conv3_1_a, 1.2544e-05,3.1322e-05,4.3866e-05,4.88112128e-05,0.00018907922432,0.000139068555264,1.32105241754803e-05,0.000153922197,87439,0,0.00054409171355948
conv3_1_b, 5.733e-05,7.0596e-05,0.000127926,0.000223082496,0.0008641511424,0.000405564309504,2.25749632408733e-05,0.000382969333,176191,0,0.00189834224414487
conv3_1_c, 2.5088e-05,3.4954e-05,6.0042e-05,9.76224256e-05,0.00037815844864,0.000190351392768,1.46799232195585e-05,0.000195368472,96895,0,0.000876180662227558
conv3_2_a, 2.5088e-05,3.491e-05,5.9998e-05,9.76224256e-05,0.00037815844864,0.000190211899392,1.24163097795404e-05,0.000195703385,96895,0,0.00087411246841154
conv3_2_b, 5.733e-05,7.0576e-05,0.000127906,0.000223082496,0.0008641511424,0.000405500903424,2.25749632408651e-05,0.00038296275,176191,0,0.00189827225506486
conv3_2_c, 2.5088e-05,3.4954e-05,6.0042e-05,9.76224256e-05,0.00037815844864,0.000190351392768,1.46799232195585e-05,0.000195368472,96895,0,0.000876180662227558
conv3_3_a, 2.5088e-05,3.491e-05,5.9998e-05,9.76224256e-05,0.00037815844864,0.000190211899392,1.24163097795404e-05,0.000195703385,96895,0,0.00087411246841154
conv3_3_b, 5.733e-05,7.0586e-05,0.000127916,0.000223082496,0.0008641511424,0.000405532606464,2.25749632408692e-05,0.000382969482,176191,0,0.00189831069010487
conv3_3_c, 2.5088e-05,3.4954e-05,6.0042e-05,9.76224256e-05,0.00037815844864,0.000190351392768,1.46799232195585e-05,0.000195368472,96895,0,0.000876180662227558
conv3_4_a, 2.5088e-05,3.491e-05,5.9998e-05,9.76224256e-05,0.00037815844864,0.000190211899392,1.24163097795404e-05,0.000195703385,96895,0,0.00087411246841154
conv3_4_b, 5.733e-05,7.0596e-05,0.000127926,0.000223082496,0.0008641511424,0.000405564309504,2.25749632408733e-05,0.000382962985,176191,0,0.00189833589614487
conv3_4_c, 2.5088e-05,3.4954e-05,6.0042e-05,9.76224256e-05,0.00037815844864,0.000190351392768,1.46799232195585e-05,0.000195368472,96895,0,0.000876180662227558
conv4_1_a, 1.6384e-05,5.4002e-05,7.0386e-05,6.37534208e-05,0.00024696061952,0.000223145017344,2.049853698561e-05,0.000261987743,157503,0,0.00081634533764961
conv4_1_b, 7.488e-05,0.00021579,0.00029067,0.000291373056,0.0011286872064,0.00092151226368,7.5185379944274e-05,0.001030750701,613695,0,0.00344750860702427
conv4_1_c, 3.2768e-05,9.5468e-05,0.000128236,0.0001275068416,0.00049392123904,0.000406547103744,3.4921044526058e-05,0.000466158374,277823,0,0.00152905460291006
conv4_2_a, 3.2768e-05,9.5797e-05,0.000128565,0.0001275068416,0.00049392123904,0.00040759013376,3.37961190861934e-05,0.000466566178,277823,0,0.00152938051148619
conv4_2_b, 7.488e-05,0.00021579,0.00029067,0.000291373056,0.0011286872064,0.00092151226368,7.5185379944274e-05,0.001030750498,613695,0,0.00344750840402427
conv4_2_c, 3.2768e-05,9.5468e-05,0.000128236,0.0001275068416,0.00049392123904,0.000406547103744,3.4921044526058e-05,0.000466158374,277823,0,0.00152905460291006
conv4_3_a, 3.2768e-05,9.5797e-05,0.000128565,0.0001275068416,0.00049392123904,0.00040759013376,3.37961190861934e-05,0.000466566178,277823,0,0.00152938051148619
conv4_3_b, 7.488e-05,0.00021579,0.00029067,0.000291373056,0.0011286872064,0.00092151226368,7.5185379944274e-05,0.001030756934,613695,0,0.00344751484002427
conv4_3_c, 3.2768e-05,9.5468e-05,0.000128236,0.0001275068416,0.00049392123904,0.000406547103744,3.4921044526058e-05,0.000466158374,277823,0,0.00152905460291006
conv4_4_a, 3.2768e-05,9.5797e-05,0.000128565,0.0001275068416,0.00049392123904,0.00040759013376,3.37961190861934e-05,0.000466566178,277823,0,0.00152938051148619
conv4_4_b, 7.488e-05,0.00021579,0.00029067,0.000291373056,0.0011286872064,0.00092151226368,7.5185379944274e-05,0.001030750527,613695,0,0.00344750843302427
conv4_4_c, 3.2768e-05,9.5468e-05,0.000128236,0.0001275068416,0.00049392123904,0.000406547103744,3.4921044526058e-05,0.000466158374,277823,0,0.00152905460291006
conv4_5_a, 3.2768e-05,9.5797e-05,0.000128565,0.0001275068416,0.00049392123904,0.00040759013376,3.37961190861934e-05,0.000466566178,277823,0,0.00152938051148619
conv4_5_b, 7.488e-05,0.00021579,0.00029067,0.000291373056,0.0011286872064,0.00092151226368,7.5185379944274e-05,0.001030750409,613695,0,0.00344750831502427
conv4_5_c, 3.2768e-05,9.5468e-05,0.000128236,0.0001275068416,0.00049392123904,0.000406547103744,3.4921044526058e-05,0.000466158374,277823,0,0.00152905460291006
conv4_6_a, 3.2768e-05,9.5797e-05,0.000128565,0.0001275068416,0.00049392123904,0.00040759013376,3.37961190861934e-05,0.000466566178,277823,0,0.00152938051148619
conv4_6_b, 7.488e-05,0.00021579,0.00029067,0.000291373056,0.0011286872064,0.00092151226368,7.5185379944274e-05,0.001030750587,613695,0,0.00344750849302427
conv4_6_c, 3.2768e-05,9.5468e-05,0.000128236,0.0001275068416,0.00049392123904,0.000406547103744,3.4921044526058e-05,0.000466158374,277823,0,0.00152905460291006
conv5_1_a, 1.6384e-05,0.00019036,0.000206744,6.37534208e-05,0.00024696061952,0.000655441330176,6.7237337681759e-05,0.00083888239,542239,0,0.00187227509817776
conv5_1_b, 7.416e-05,0.000809076,0.000883236,0.000288571392,0.0011178344448,0.002800126623744,0.000288789732188427,0.003597004653,2376351,1176,0.00809232684573243
conv5_1_c, 3.2768e-05,0.001763166,0.001795934,0.0001275068416,0.00049392123904,0.005693656743936,0.000506395221212776,0.00824697988,4202251,6272,0.0150684599257888
conv5_2_a, 3.2768e-05,0.00048446,0.000517228,0.0001275068416,0.00049392123904,0.001639769997312,0.000127282895566236,0.002894078165,1056415,1568,0.00528255913851824
conv5_2_b, 7.416e-05,0.000809076,0.000883236,0.000288571392,0.0011178344448,0.002800126623744,0.000288789732188427,0.003596983297,2376351,1176,0.00809230548973243
conv5_2_c, 3.2768e-05,0.001763166,0.001795934,0.0001275068416,0.00049392123904,0.005693656743936,0.000506395221212776,0.00824697988,4202251,6272,0.0150684599257888
conv5_3_a, 3.2768e-05,0.00048446,0.000517228,0.0001275068416,0.00049392123904,0.001639769997312,0.000127282895566236,0.002894078165,1056415,1568,0.00528255913851824
conv5_3_b, 7.416e-05,0.000809076,0.000883236,0.000288571392,0.0011178344448,0.002800126623744,0.000288789732188427,0.003597005242,2376351,1176,0.00809232743473243
conv5_3_c, 3.2768e-05,0.001763166,0.001795934,0.0001275068416,0.00049392123904,0.005693656743936,0.000506395221212776,0.00824697988,4202251,6272,0.0150684599257888
Total,0.00196999,0.012113489,0.014083479,0.007665625088,0.0296942108672,0.044648909807616,0.00386906993435364,0.058574257116,31409607,25480,0.14445207281317
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 13.9879499944581,86.012050005542,100,25.8631359368032,30.9091513455565,43.2277127176404,100,1,1,1,0.14445207281317
rram_apr_zero_lat
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv1, 5.7624e-05,1.1111e-05,6.8735e-05,0.0002242265088,0.00086858268672,0.00021791084544,1.51053542564393e-05,1.53376768000359e-05,74891,0,0.00134116307201648
conv2_1_a, 6.272e-06,1.1e-06,7.372e-06,2.44056064e-05,9.453961216e-05,2.3371481088e-05,5.02515968174428e-06,5.97667840000381e-06,29183,0,0.000153318537729748
