vgg_net_16_1_rram_mem_0.5_node_7
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv07_part_3_o, 0.0002646,8.1568e-05,0.000346168,0.00102961152,0.003988389888,0.001097457795072,4.08638490480657e-05,6.59322880001925e-05,321935,0,0.00622225534012026
conv08_part_1_o, 3.528e-05,1.071e-05,4.599e-05,0.000137281536,0.0005317853184,0.00014580228096,1.82064153716739e-05,2.84784640000255e-05,139055,0,0.000861554014731699
Total,0.00029988,9.2278e-05,0.000392158,0.001166893056,0.0045201752064,0.001243260076032,5.90702644197396e-05,9.4410752000218e-05,460990,0,0.00708380935485196
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
vgg_net_16_1_rram_mem_0.5_node_7, 76.4691782393831,23.5308217606169,100,80.2826272915535,17.5507274935406,2.16664521490592,100,1,1,1,0.00708380935485196
vgg_net_16_1_rram_mem_0.5_node_7
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv07_part_3_o, 0.0002646,8.1568e-05,0.000346168,0.00102961152,0.003988389888,0.001097457795072,4.08638490480657e-05,6.59322880001925e-05,321935,0,0.00622225534012026
conv08_part_1_o, 3.528e-05,1.071e-05,4.599e-05,0.000137281536,0.0005317853184,0.00014580228096,1.82064153716739e-05,2.84784640000255e-05,139055,0,0.000861554014731699
Total,0.00029988,9.2278e-05,0.000392158,0.001166893056,0.0045201752064,0.001243260076032,5.90702644197396e-05,9.4410752000218e-05,460990,0,0.00708380935485196
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
vgg_net_16_1_rram_mem_0.5_node_7, 76.4691782393831,23.5308217606169,100,80.2826272915535,17.5507274935406,2.16664521490592,100,1,1,1,0.00708380935485196
