vgg_net_16_1_rram_mem_8_node_2
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv09_part_2_o, 0.00041874328125,7.4671359375e-05,0.000493414640625,0.001629413856,0.0063118347264,0.001564274408832,0.000146572761716962,0.000246651904000256,1184255,10720,0.00989874765694922
conv10, 0.00090846,0.00030737,0.00121583,0.003534999552,0.0136934719488,0.00385455071232,0.000303191350073609,0.000513949491200685,2474239,18816,0.0219001630543943
conv11_part_1_o, 9.50175e-05,6.230525e-05,0.00015732275,0.000369732096,0.0014322253824,0.000498760943616,9.77823155652188e-05,0.000162729779200099,794579,0,0.00256123051678132
Total,0.00142222078125,0.000444346609375,0.001866567390625,0.005534145504,0.0214375320576,0.005917586064768,0.00054754642735579,0.00092333117440104,4453073,29536,0.0343601412281248
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
vgg_net_16_1_rram_mem_8_node_2, 76.1944512902791,23.8055487097209,100,78.4969927292466,17.2222402273605,4.28076704339292,100,1,1,1,0.0343601412281248
vgg_net_16_1_rram_mem_8_node_2
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv09_part_2_o, 0.00041874328125,7.4671359375e-05,0.000493414640625,0.001629413856,0.0063118347264,0.001564274408832,0.000146572761716962,0.000246651904000256,1184255,10720,0.00989874765694922
conv10, 0.00090846,0.00030737,0.00121583,0.003534999552,0.0136934719488,0.00385455071232,0.000303191350073609,0.000513949491200685,2474239,18816,0.0219001630543943
conv11_part_1_o, 9.50175e-05,6.230525e-05,0.00015732275,0.000369732096,0.0014322253824,0.000498760943616,9.77823155652188e-05,0.000162729779200099,794579,0,0.00256123051678132
Total,0.00142222078125,0.000444346609375,0.001866567390625,0.005534145504,0.0214375320576,0.005917586064768,0.00054754642735579,0.00092333117440104,4453073,29536,0.0343601412281248
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
vgg_net_16_1_rram_mem_8_node_2, 76.1944512902791,23.8055487097209,100,78.4969927292466,17.2222402273605,4.28076704339292,100,1,1,1,0.0343601412281248
