baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv01, 4.2336e-05,0.00024719,0.000289526,0.0001647378432,0.00063814238208,0.000917885435904,5.01779175505034e-05,0.001415292729,416541,135168,0.0031862363077345
conv02, 0.000903168,0.000603529,0.001506697,0.0035144073216,0.01361370415104,0.004776687525888,8.70910596344702e-05,0.004063702981,724111,135168,0.0260555930391625
conv03, 0.000451584,0.000281396,0.00073298,0.0017572036608,0.00680685207552,0.00232376942592,4.43810024488479e-05,0.001853919459,368991,34816,0.0127861256236888
conv04, 0.000903168,0.000468128,0.001371296,0.0035144073216,0.01361370415104,0.004347425193984,6.46102454987153e-05,0.003238767123,537279,34816,0.0247789140351227
conv05, 0.00045864,0.000205212,0.000663852,0.001784659968,0.0069132091392,0.002104612651008,5.61502849789299e-05,0.001552673019,414799,0,0.0124113050621869
conv06, 0.00091728,0.000395213,0.001312493,0.003569319936,0.0138264182784,0.004161001807872,0.000100222262111596,0.003015954589,779423,0,0.0246729168733836
conv07, 0.00091728,0.000395819,0.001313099,0.003569319936,0.0138264182784,0.004162923012096,0.000100222262111846,0.003016007335,779423,0,0.0246748908236078
conv08, 0.00045864,0.000487888,0.000946528,0.001784659968,0.0069132091392,0.003000781504512,0.000154616159015329,0.002748629008,1249663,12544,0.0146018957787273
conv09, 0.00090846,0.000963426,0.001871886,0.003534999552,0.0136934719488,0.005934447673344,0.000303191350343757,0.005442131168,2474239,18816,0.0289082416924878
conv10, 0.00090846,0.000963426,0.001871886,0.003534999552,0.0136934719488,0.005934447673344,0.000303191350343757,0.005442162506,2474239,18816,0.0289082730304878
conv11, 0.00029664,0.000838101,0.001134741,0.001154285568,0.0044713377792,0.003597473931264,0.000292300905366184,0.004048706835,2407039,4704,0.0135641050188302
conv12, 0.00029664,0.000838101,0.001134741,0.001154285568,0.0044713377792,0.003597473931264,0.000292300905366184,0.004048740601,2407039,4704,0.0135641387848302
conv13, 0.00029664,0.000838101,0.001134741,0.001154285568,0.0044713377792,0.003597473931264,0.000292300905366184,0.004048739749,2407039,4704,0.0135641379328302
fc1, 5.0176e-05,0.002134519,0.002184695,0.0001952448512,0.00075631689728,0.00692614729728,0.000775842553209275,0.009809520362,6447871,256,0.0184630719609693
fc2, 8.192e-06,0.000503271,0.000511463,3.18767104e-05,0.00012348030976,0.001621493194752,0.000126733376208922,0.003616594808,1052927,256,0.00552017839912092
fc3, 2.048e-06,8.9297e-05,9.1345e-05,7.9691776e-06,3.087007744e-05,0.00028959141888,3.1318202917192e-05,0.000415538649,260159,0,0.000775287525837192
Total,0.007819352,0.010252617,0.018071969,0.0304266625024,0.11786328211456,0.057293635608576,0.00307465074247169,0.057777080921,25200782,404768,0.266435311889008
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 43.267847571009,56.732152428991,100,55.6570161686132,21.5037696025981,22.8392142287887,100,1,1,1,0.266435311889008
baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv01, 4.2336e-05,0.00024719,0.000289526,0.0001647378432,0.00063814238208,0.000917885435904,5.01779175505034e-05,0.001415292729,416541,135168,0.0031862363077345
conv02, 0.000903168,0.000603529,0.001506697,0.0035144073216,0.01361370415104,0.004776687525888,8.70910596344702e-05,0.004063702981,724111,135168,0.0260555930391625
conv03, 0.000451584,0.000281396,0.00073298,0.0017572036608,0.00680685207552,0.00232376942592,4.43810024488479e-05,0.001853919459,368991,34816,0.0127861256236888
conv04, 0.000903168,0.000468128,0.001371296,0.0035144073216,0.01361370415104,0.004347425193984,6.46102454987153e-05,0.003238767123,537279,34816,0.0247789140351227
conv05, 0.00045864,0.000205212,0.000663852,0.001784659968,0.0069132091392,0.002104612651008,5.61502849789299e-05,0.001552673019,414799,0,0.0124113050621869
conv06, 0.00091728,0.000395213,0.001312493,0.003569319936,0.0138264182784,0.004161001807872,0.000100222262111596,0.003015954589,779423,0,0.0246729168733836
conv07, 0.00091728,0.000395819,0.001313099,0.003569319936,0.0138264182784,0.004162923012096,0.000100222262111846,0.003016007335,779423,0,0.0246748908236078
conv08, 0.00045864,0.000487888,0.000946528,0.001784659968,0.0069132091392,0.003000781504512,0.000154616159015329,0.002748629008,1249663,12544,0.0146018957787273
conv09, 0.00090846,0.000963426,0.001871886,0.003534999552,0.0136934719488,0.005934447673344,0.000303191350343757,0.005442131168,2474239,18816,0.0289082416924878
conv10, 0.00090846,0.000963426,0.001871886,0.003534999552,0.0136934719488,0.005934447673344,0.000303191350343757,0.005442162506,2474239,18816,0.0289082730304878
conv11, 0.00029664,0.000838101,0.001134741,0.001154285568,0.0044713377792,0.003597473931264,0.000292300905366184,0.004048706835,2407039,4704,0.0135641050188302
conv12, 0.00029664,0.000838101,0.001134741,0.001154285568,0.0044713377792,0.003597473931264,0.000292300905366184,0.004048740601,2407039,4704,0.0135641387848302
conv13, 0.00029664,0.000838101,0.001134741,0.001154285568,0.0044713377792,0.003597473931264,0.000292300905366184,0.004048739749,2407039,4704,0.0135641379328302
fc1, 5.0176e-05,0.002134519,0.002184695,0.0001952448512,0.00075631689728,0.00692614729728,0.000775842553209275,0.009809520362,6447871,256,0.0184630719609693
fc2, 8.192e-06,0.000503271,0.000511463,3.18767104e-05,0.00012348030976,0.001621493194752,0.000126733376208922,0.003616594808,1052927,256,0.00552017839912092
fc3, 2.048e-06,8.9297e-05,9.1345e-05,7.9691776e-06,3.087007744e-05,0.00028959141888,3.1318202917192e-05,0.000415538649,260159,0,0.000775287525837192
Total,0.007819352,0.010252617,0.018071969,0.0304266625024,0.11786328211456,0.057293635608576,0.00307465074247169,0.057777080921,25200782,404768,0.266435311889008
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 43.267847571009,56.732152428991,100,55.6570161686132,21.5037696025981,22.8392142287887,100,1,1,1,0.266435311889008
