baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv01, 4.2336e-05,0.00024719,0.000289526,0.0001647378432,0.00063814238208,0.000917885435904,5.01779175505034e-05,0.001415292729,416541,135168,0.0031862363077345
conv02, 0.000903168,0.000603529,0.001506697,0.0035144073216,0.01361370415104,0.004776687525888,8.70910596344702e-05,0.004063702981,724111,135168,0.0260555930391625
conv03, 0.000451584,0.000281396,0.00073298,0.0017572036608,0.00680685207552,0.00232376942592,4.43810024488479e-05,0.001853919459,368991,34816,0.0127861256236888
conv04, 0.000903168,0.000468128,0.001371296,0.0035144073216,0.01361370415104,0.004347425193984,6.46102454987153e-05,0.003238767123,537279,34816,0.0247789140351227
conv05, 0.00045864,0.000205212,0.000663852,0.001784659968,0.0069132091392,0.002104612651008,5.61502849789299e-05,0.001552673019,414799,0,0.0124113050621869
conv06, 0.00091728,0.000395213,0.001312493,0.003569319936,0.0138264182784,0.004161001807872,0.000100222262111596,0.003015954589,779423,0,0.0246729168733836
conv07, 0.00091728,0.000395819,0.001313099,0.003569319936,0.0138264182784,0.004162923012096,0.000100222262111846,0.003016007335,779423,0,0.0246748908236078
conv08, 0.00045864,0.000487888,0.000946528,0.001784659968,0.0069132091392,0.003000781504512,0.000154616159015329,0.002748629008,1249663,12544,0.0146018957787273
conv09, 0.00090846,0.000963426,0.001871886,0.003534999552,0.0136934719488,0.005934447673344,0.000303191350343757,0.005442131168,2474239,18816,0.0289082416924878
conv10, 0.00090846,0.000963426,0.001871886,0.003534999552,0.0136934719488,0.005934447673344,0.000303191350343757,0.005442162506,2474239,18816,0.0289082730304878
conv11, 0.00029664,0.000838101,0.001134741,0.001154285568,0.0044713377792,0.003597473931264,0.000292300905366184,0.004048706835,2407039,4704,0.0135641050188302
conv12, 0.00029664,0.000838101,0.001134741,0.001154285568,0.0044713377792,0.003597473931264,0.000292300905366184,0.004048740601,2407039,4704,0.0135641387848302
conv13, 0.00029664,0.000838101,0.001134741,0.001154285568,0.0044713377792,0.003597473931264,0.000292300905366184,0.004048739749,2407039,4704,0.0135641379328302
fc1, 5.0176e-05,0.002134519,0.002184695,0.0001952448512,0.00075631689728,0.00692614729728,0.000775842553209275,0.009809520362,6447871,256,0.0184630719609693
fc2, 8.192e-06,0.000503271,0.000511463,3.18767104e-05,0.00012348030976,0.001621493194752,0.000126733376208922,0.003616594808,1052927,256,0.00552017839912092
fc3, 2.048e-06,8.9297e-05,9.1345e-05,7.9691776e-06,3.087007744e-05,0.00028959141888,3.1318202917192e-05,0.000415538649,260159,0,0.000775287525837192
Total,0.007819352,0.010252617,0.018071969,0.0304266625024,0.11786328211456,0.057293635608576,0.00307465074247169,0.057777080921,25200782,404768,0.266435311889008
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 43.267847571009,56.732152428991,100,55.6570161686132,21.5037696025981,22.8392142287887,100,1,1,1,0.266435311889008
rram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv01, 4.2336e-05,1.7962e-05,6.0298e-05,0.0001647378432,0.00063814238208,0.000191162990592,5.01779174561128e-05,0.000137212108800035,416541,135168,0.00118143324212815
conv02, 0.000903168,0.000294112,0.00119728,0.0035144073216,0.01361370415104,0.00379574157312,8.70910595070597e-05,0.000200202444800671,724111,135168,0.0212111465500677
conv03, 0.000451584,0.000127348,0.000578932,0.0017572036608,0.00680685207552,0.001835390435328,4.43810023854146e-05,8.89387008003178e-05,368991,34816,0.0105327658748337
conv04, 0.000903168,0.00029152,0.001194688,0.0035144073216,0.01361370415104,0.003787524145152,6.46102454259924e-05,0.000123404083200669,537279,34816,0.0211036499464187
conv05, 0.00045864,6.118e-05,0.00051982,0.001784659968,0.0069132091392,0.00164798742528,5.61502849196209e-05,8.49508352002615e-05,414799,0,0.0104869576525999
conv06, 0.00091728,0.00016076,0.00107804,0.003569319936,0.0138264182784,0.00341771452416,0.000100222262015054,0.000159625830400557,779423,0,0.0210733008309756
conv07, 0.00091728,0.00016076,0.00107804,0.003569319936,0.0138264182784,0.00341771452416,0.000100222262015054,0.000159625830400557,779423,0,0.0210733008309756
conv08, 0.00045864,0.000154796,0.000613436,0.001784659968,0.0069132091392,0.001944778604544,0.00015461615887817,0.000260747878400346,1249663,12544,0.0110580117490225
conv09, 0.00090846,0.00030737,0.00121583,0.003534999552,0.0136934719488,0.00385455071232,0.000303191350073609,0.000513949491200685,2474239,18816,0.0219001630543943
conv10, 0.00090846,0.00030737,0.00121583,0.003534999552,0.0136934719488,0.00385455071232,0.000303191350073609,0.000513949491200685,2474239,18816,0.0219001630543943
conv11, 0.00029664,0.000214352,0.000510992,0.001154285568,0.0044713377792,0.001619999981568,0.00029230090510934,0.000494767923200326,2407039,4704,0.00803269215707767
conv12, 0.00029664,0.000214352,0.000510992,0.001154285568,0.0044713377792,0.001619999981568,0.00029230090510934,0.000494767923200326,2407039,4704,0.00803269215707767
conv13, 0.00029664,0.000214352,0.000510992,0.001154285568,0.0044713377792,0.001619999981568,0.00029230090510934,0.000494767923200326,2407039,4704,0.00803269215707767
fc1, 5.0176e-05,0.000424426,0.000474602,0.0001952448512,0.00075631689728,0.001504632619008,0.000775842552505099,0.0013206222848004,6447871,256,0.0045526592047935
fc2, 8.192e-06,9.738e-05,0.000105572,3.18767104e-05,0.00012348030976,0.000334695333888,0.000126733376041785,0.000215737753600091,1052927,256,0.000832523483689876
fc3, 2.048e-06,4.127e-06,6.175e-06,7.9691776e-06,3.087007744e-05,1.95766272e-05,3.13182028821211e-05,5.32805632000046e-05,260159,0,0.000143014648322126
Total,0.007819352,0.003052167,0.010871519,0.0304266625024,0.11786328211456,0.034466020171776,0.00307465073950672,0.00531655106560626,25200782,404768,0.191147166593849
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
rram_apr, 43.267847571009,16.8889565934957,60.1568041645047,55.6570161686132,12.9359805678213,3.14943306336534,71.7424297997998,1.66232234888243,1.39387528801372,2.31707004282014,0.191147166593849
