baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv01, 4.2336e-05,0.00024719,0.000289526,0.0001647378432,0.00063814238208,0.000917885435904,5.01779175505034e-05,0.001415292729,416541,135168,0.0031862363077345
conv02, 0.000903168,0.000603529,0.001506697,0.0035144073216,0.01361370415104,0.004776687525888,8.70910596344702e-05,0.004063702981,724111,135168,0.0260555930391625
conv03, 0.000451584,0.000281396,0.00073298,0.0017572036608,0.00680685207552,0.00232376942592,4.43810024488479e-05,0.001853919459,368991,34816,0.0127861256236888
conv04, 0.000903168,0.000468128,0.001371296,0.0035144073216,0.01361370415104,0.004347425193984,6.46102454987153e-05,0.003238767123,537279,34816,0.0247789140351227
conv05, 0.00045864,0.000205212,0.000663852,0.001784659968,0.0069132091392,0.002104612651008,5.61502849789299e-05,0.001552673019,414799,0,0.0124113050621869
conv06, 0.00091728,0.000395213,0.001312493,0.003569319936,0.0138264182784,0.004161001807872,0.000100222262111596,0.003015954589,779423,0,0.0246729168733836
conv07, 0.00091728,0.000395819,0.001313099,0.003569319936,0.0138264182784,0.004162923012096,0.000100222262111846,0.003016007335,779423,0,0.0246748908236078
conv08, 0.00045864,0.000487888,0.000946528,0.001784659968,0.0069132091392,0.003000781504512,0.000154616159015329,0.002748629008,1249663,12544,0.0146018957787273
conv09, 0.00090846,0.000963426,0.001871886,0.003534999552,0.0136934719488,0.005934447673344,0.000303191350343757,0.005442131168,2474239,18816,0.0289082416924878
conv10, 0.00090846,0.000963426,0.001871886,0.003534999552,0.0136934719488,0.005934447673344,0.000303191350343757,0.005442162506,2474239,18816,0.0289082730304878
conv11, 0.00029664,0.000838101,0.001134741,0.001154285568,0.0044713377792,0.003597473931264,0.000292300905366184,0.004048706835,2407039,4704,0.0135641050188302
conv12, 0.00029664,0.000838101,0.001134741,0.001154285568,0.0044713377792,0.003597473931264,0.000292300905366184,0.004048740601,2407039,4704,0.0135641387848302
conv13, 0.00029664,0.000838101,0.001134741,0.001154285568,0.0044713377792,0.003597473931264,0.000292300905366184,0.004048739749,2407039,4704,0.0135641379328302
fc1, 5.0176e-05,0.002134519,0.002184695,0.0001952448512,0.00075631689728,0.00692614729728,0.000775842553209275,0.009809520362,6447871,256,0.0184630719609693
fc2, 8.192e-06,0.000503271,0.000511463,3.18767104e-05,0.00012348030976,0.001621493194752,0.000126733376208922,0.003616594808,1052927,256,0.00552017839912092
fc3, 2.048e-06,8.9297e-05,9.1345e-05,7.9691776e-06,3.087007744e-05,0.00028959141888,3.1318202917192e-05,0.000415538649,260159,0,0.000775287525837192
Total,0.007819352,0.010252617,0.018071969,0.0304266625024,0.11786328211456,0.057293635608576,0.00307465074247169,0.057777080921,25200782,404768,0.266435311889008
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 43.267847571009,56.732152428991,100,55.6570161686132,21.5037696025981,22.8392142287887,100,1,1,1,0.266435311889008
rram_apr_2x_bw
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv01, 4.2336e-05,1.7961e-05,6.0297e-05,0.0001647378432,0.00063814238208,0.000191159820288,5.01779174561124e-05,0.000137212108800035,416541,135168,0.00118143007182415
conv02, 0.000903168,0.00025412,0.001157288,0.0035144073216,0.01361370415104,0.003668954775552,8.7091059490592e-05,0.000200202444800635,724111,135168,0.0210843597524832
conv03, 0.000451584,0.000127348,0.000578932,0.0017572036608,0.00680685207552,0.001835390435328,4.43810023854146e-05,8.89387008003178e-05,368991,34816,0.0105327658748337
conv04, 0.000903168,0.000251529,0.001154697,0.0035144073216,0.01361370415104,0.003660740517888,6.46102454095251e-05,0.000123404083200633,537279,34816,0.0209768663191382
conv05, 0.00045864,6.118e-05,0.00051982,0.001784659968,0.0069132091392,0.00164798742528,5.61502849196209e-05,8.49508352002615e-05,414799,0,0.0104869576525999
conv06, 0.00091728,0.000159266,0.001076546,0.003569319936,0.0138264182784,0.003412978089984,0.000100222262014439,0.000159625830400556,779423,0,0.021068564396799
conv07, 0.00091728,0.000159266,0.001076546,0.003569319936,0.0138264182784,0.003412978089984,0.000100222262014439,0.000159625830400556,779423,0,0.021068564396799
conv08, 0.00045864,0.000112588,0.000571228,0.001784659968,0.0069132091392,0.001810966413312,0.00015461615886079,0.000260747878400308,1249663,12544,0.0109241995577731
conv09, 0.00090846,0.000187916,0.001096376,0.003534999552,0.0136934719488,0.003475845218304,0.00030319135002442,0.000513949491200578,2474239,18816,0.021521457560329
conv10, 0.00090846,0.000187916,0.001096376,0.003534999552,0.0136934719488,0.003475845218304,0.00030319135002442,0.000513949491200578,2474239,18816,0.021521457560329
conv11, 0.00029664,0.00013283,0.00042947,0.001154285568,0.0044713377792,0.00136155045888,0.000292300905075771,0.000494767923200253,2407039,4704,0.00777424263435602
conv12, 0.00029664,0.00013283,0.00042947,0.001154285568,0.0044713377792,0.00136155045888,0.000292300905075771,0.000494767923200253,2407039,4704,0.00777424263435602
conv13, 0.00029664,0.00013283,0.00042947,0.001154285568,0.0044713377792,0.00136155045888,0.000292300905075771,0.000494767923200253,2407039,4704,0.00777424263435602
fc1, 5.0176e-05,0.000304653,0.000354829,0.0001952448512,0.00075631689728,0.001124915798016,0.00077584255245578,0.0013206222848003,6447871,256,0.00417294238375208
fc2, 8.192e-06,5.7688e-05,6.588e-05,3.18767104e-05,0.00012348030976,0.00020885962752,0.000126733376025441,0.000215737753600056,1052927,256,0.000706687777305497
fc3, 2.048e-06,4.127e-06,6.175e-06,7.9691776e-06,3.087007744e-05,1.95766272e-05,3.13182028821211e-05,5.32805632000046e-05,260159,0,0.000143014648322126
Total,0.007819352,0.002284048,0.0101034,0.0304266625024,0.11786328211456,0.0320308494336,0.00307465073919043,0.00531655106560558,25200782,404768,0.188711995855356
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
rram_apr_2x_bw, 43.267847571009,12.6386228307497,55.9064704017587,55.6570161686132,12.0219985881389,3.14943306324637,70.8284478199985,1.78870172417206,1.41186208476765,2.52540014531706,0.188711995855356
