baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv01, 4.2336e-05,0.00021029,0.000252626,0.0001647378432,0.00063814238208,0.000800901218304,5.01779175353088e-05,0.002226462322,416541,135168,0.00388042168311931
conv02, 0.000903168,0.000555198,0.001458366,0.0035144073216,0.01361370415104,0.004623463563264,8.70910596145687e-05,0.007478529714,724111,135168,0.0293171958095186
conv03, 0.000451584,0.000267025,0.000718609,0.0017572036608,0.00680685207552,0.002278208987136,4.43810024429302e-05,0.003687218253,368991,34816,0.0145738639788989
conv04, 0.000903168,0.00045074,0.001353908,0.0035144073216,0.01361370415104,0.004292299948032,6.46102454915554e-05,0.00645652486,537279,34816,0.0279415465261636
conv05, 0.00045864,0.000200564,0.000659204,0.001784659968,0.0069132091392,0.002089877078016,5.61502849770159e-05,0.003214161187,414799,0,0.014058057657193
conv06, 0.00091728,0.000382504,0.001299784,0.003569319936,0.0138264182784,0.004120710414336,0.000100222262106363,0.006356646198,779423,0,0.0279733170888424
conv07, 0.00091728,0.000382504,0.001299784,0.003569319936,0.0138264182784,0.004120710414336,0.000100222262106363,0.00635664056,779423,0,0.0279733114508424
conv08, 0.00045864,0.000478658,0.000937298,0.001784659968,0.0069132091392,0.002971519598592,0.000154616159011528,0.005988254972,1249663,12544,0.0178122598368035
conv09, 0.00090846,0.000943581,0.001852041,0.003534999552,0.0136934719488,0.005871532990464,0.000303191350335585,0.011914030243,2474239,18816,0.0353172260845996
conv10, 0.00090846,0.000943581,0.001852041,0.003534999552,0.0136934719488,0.005871532990464,0.000303191350335585,0.011914027618,2474239,18816,0.0353172234595996
conv11, 0.00029664,0.000820894,0.001117534,0.001154285568,0.0044713377792,0.003542922510336,0.000292300905359099,0.0090321839,2407039,4704,0.0184930306628951
conv12, 0.00029664,0.000820894,0.001117534,0.001154285568,0.0044713377792,0.003542922510336,0.000292300905359099,0.009032184019,2407039,4704,0.0184930307818951
conv13, 0.00029664,0.000820894,0.001117534,0.001154285568,0.0044713377792,0.003542922510336,0.000292300905359099,0.009032183959,2407039,4704,0.0184930307218951
fc1, ,,,,,,,,,,0
fc2, 8.192e-06,0.000339101,0.000347293,3.18767104e-05,0.00012348030976,0.001101024387072,0.00012673337614132,0.00442367165,1052927,256,0.00580678643337332
fc3, 2.048e-06,8.7291e-05,8.9339e-05,7.9691776e-06,3.087007744e-05,0.000283231789056,3.1318202916366e-05,0.000872079988,260159,0,0.00122546923501237
Total,0.007769176,0.007703719,0.015472895,0.0302314176512,0.11710696521728,0.04905378091008,0.00229880818909179,0.097984799443,18752911,404512,0.296675771410652
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 50.2115215026018,49.7884784973982,100,49.6630992709336,16.5344748837548,33.8024258453116,100,1,1,1,0.296675771410652
baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv01, 4.2336e-05,0.00021029,0.000252626,0.0001647378432,0.00063814238208,0.000800901218304,5.01779175353088e-05,0.002226462322,416541,135168,0.00388042168311931
conv02, 0.000903168,0.000555198,0.001458366,0.0035144073216,0.01361370415104,0.004623463563264,8.70910596145687e-05,0.007478529714,724111,135168,0.0293171958095186
conv03, 0.000451584,0.000267025,0.000718609,0.0017572036608,0.00680685207552,0.002278208987136,4.43810024429302e-05,0.003687218253,368991,34816,0.0145738639788989
conv04, 0.000903168,0.00045074,0.001353908,0.0035144073216,0.01361370415104,0.004292299948032,6.46102454915554e-05,0.00645652486,537279,34816,0.0279415465261636
conv05, 0.00045864,0.000200564,0.000659204,0.001784659968,0.0069132091392,0.002089877078016,5.61502849770159e-05,0.003214161187,414799,0,0.014058057657193
conv06, 0.00091728,0.000382504,0.001299784,0.003569319936,0.0138264182784,0.004120710414336,0.000100222262106363,0.006356646198,779423,0,0.0279733170888424
conv07, 0.00091728,0.000382504,0.001299784,0.003569319936,0.0138264182784,0.004120710414336,0.000100222262106363,0.00635664056,779423,0,0.0279733114508424
conv08, 0.00045864,0.000478658,0.000937298,0.001784659968,0.0069132091392,0.002971519598592,0.000154616159011528,0.005988254972,1249663,12544,0.0178122598368035
conv09, 0.00090846,0.000943581,0.001852041,0.003534999552,0.0136934719488,0.005871532990464,0.000303191350335585,0.011914030243,2474239,18816,0.0353172260845996
conv10, 0.00090846,0.000943581,0.001852041,0.003534999552,0.0136934719488,0.005871532990464,0.000303191350335585,0.011914027618,2474239,18816,0.0353172234595996
conv11, 0.00029664,0.000820894,0.001117534,0.001154285568,0.0044713377792,0.003542922510336,0.000292300905359099,0.0090321839,2407039,4704,0.0184930306628951
conv12, 0.00029664,0.000820894,0.001117534,0.001154285568,0.0044713377792,0.003542922510336,0.000292300905359099,0.009032184019,2407039,4704,0.0184930307818951
conv13, 0.00029664,0.000820894,0.001117534,0.001154285568,0.0044713377792,0.003542922510336,0.000292300905359099,0.009032183959,2407039,4704,0.0184930307218951
fc1, ,,,,,,,,,,0
fc2, 8.192e-06,0.000339101,0.000347293,3.18767104e-05,0.00012348030976,0.001101024387072,0.00012673337614132,0.00442367165,1052927,256,0.00580678643337332
fc3, 2.048e-06,8.7291e-05,8.9339e-05,7.9691776e-06,3.087007744e-05,0.000283231789056,3.1318202916366e-05,0.000872079988,260159,0,0.00122546923501237
Total,0.007769176,0.007703719,0.015472895,0.0302314176512,0.11710696521728,0.04905378091008,0.00229880818909179,0.097984799443,18752911,404512,0.296675771410652
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 50.2115215026018,49.7884784973982,100,49.6630992709336,16.5344748837548,33.8024258453116,100,1,1,1,0.296675771410652
