baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv01, 4.2336e-05,0.00021029,0.000252626,0.0001647378432,0.00063814238208,0.000800901218304,5.01779175353088e-05,0.002226462322,416541,135168,0.00388042168311931
conv02, 0.000903168,0.000555198,0.001458366,0.0035144073216,0.01361370415104,0.004623463563264,8.70910596145687e-05,0.007478529714,724111,135168,0.0293171958095186
conv03, 0.000451584,0.000267025,0.000718609,0.0017572036608,0.00680685207552,0.002278208987136,4.43810024429302e-05,0.003687218253,368991,34816,0.0145738639788989
conv04, 0.000903168,0.00045074,0.001353908,0.0035144073216,0.01361370415104,0.004292299948032,6.46102454915554e-05,0.00645652486,537279,34816,0.0279415465261636
conv05, 0.00045864,0.000200564,0.000659204,0.001784659968,0.0069132091392,0.002089877078016,5.61502849770159e-05,0.003214161187,414799,0,0.014058057657193
conv06, 0.00091728,0.000382504,0.001299784,0.003569319936,0.0138264182784,0.004120710414336,0.000100222262106363,0.006356646198,779423,0,0.0279733170888424
conv07, 0.00091728,0.000382504,0.001299784,0.003569319936,0.0138264182784,0.004120710414336,0.000100222262106363,0.00635664056,779423,0,0.0279733114508424
conv08, 0.00045864,0.000478658,0.000937298,0.001784659968,0.0069132091392,0.002971519598592,0.000154616159011528,0.005988254972,1249663,12544,0.0178122598368035
conv09, 0.00090846,0.000943581,0.001852041,0.003534999552,0.0136934719488,0.005871532990464,0.000303191350335585,0.011914030243,2474239,18816,0.0353172260845996
conv10, 0.00090846,0.000943581,0.001852041,0.003534999552,0.0136934719488,0.005871532990464,0.000303191350335585,0.011914027618,2474239,18816,0.0353172234595996
conv11, 0.00029664,0.000820894,0.001117534,0.001154285568,0.0044713377792,0.003542922510336,0.000292300905359099,0.0090321839,2407039,4704,0.0184930306628951
conv12, 0.00029664,0.000820894,0.001117534,0.001154285568,0.0044713377792,0.003542922510336,0.000292300905359099,0.009032184019,2407039,4704,0.0184930307818951
conv13, 0.00029664,0.000820894,0.001117534,0.001154285568,0.0044713377792,0.003542922510336,0.000292300905359099,0.009032183959,2407039,4704,0.0184930307218951
fc1, ,,,,,,,,,,0
fc2, 8.192e-06,0.000339101,0.000347293,3.18767104e-05,0.00012348030976,0.001101024387072,0.00012673337614132,0.00442367165,1052927,256,0.00580678643337332
fc3, 2.048e-06,8.7291e-05,8.9339e-05,7.9691776e-06,3.087007744e-05,0.000283231789056,3.1318202916366e-05,0.000872079988,260159,0,0.00122546923501237
Total,0.007769176,0.007703719,0.015472895,0.0302314176512,0.11710696521728,0.04905378091008,0.00229880818909179,0.097984799443,18752911,404512,0.296675771410652
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 50.2115215026018,49.7884784973982,100,49.6630992709336,16.5344748837548,33.8024258453116,100,1,1,1,0.296675771410652
rram_apr_2x_bw
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv01, 4.2336e-05,1.7961e-05,6.0297e-05,0.0001647378432,0.00063814238208,0.000191159820288,5.01779174561124e-05,0.000137212108800035,416541,135168,0.00118143007182415
conv02, 0.000903168,0.00025412,0.001157288,0.0035144073216,0.01361370415104,0.003668954775552,8.7091059490592e-05,0.000200202444800635,724111,135168,0.0210843597524832
conv03, 0.000451584,0.000127348,0.000578932,0.0017572036608,0.00680685207552,0.001835390435328,4.43810023854146e-05,8.89387008003178e-05,368991,34816,0.0105327658748337
conv04, 0.000903168,0.000251529,0.001154697,0.0035144073216,0.01361370415104,0.003660740517888,6.46102454095251e-05,0.000123404083200633,537279,34816,0.0209768663191382
conv05, 0.00045864,6.118e-05,0.00051982,0.001784659968,0.0069132091392,0.00164798742528,5.61502849196209e-05,8.49508352002615e-05,414799,0,0.0104869576525999
conv06, 0.00091728,0.000159266,0.001076546,0.003569319936,0.0138264182784,0.003412978089984,0.000100222262014439,0.000159625830400556,779423,0,0.021068564396799
conv07, 0.00091728,0.000159266,0.001076546,0.003569319936,0.0138264182784,0.003412978089984,0.000100222262014439,0.000159625830400556,779423,0,0.021068564396799
conv08, 0.00045864,0.000112588,0.000571228,0.001784659968,0.0069132091392,0.001810966413312,0.00015461615886079,0.000260747878400308,1249663,12544,0.0109241995577731
conv09, 0.00090846,0.000187916,0.001096376,0.003534999552,0.0136934719488,0.003475845218304,0.00030319135002442,0.000513949491200578,2474239,18816,0.021521457560329
conv10, 0.00090846,0.000187916,0.001096376,0.003534999552,0.0136934719488,0.003475845218304,0.00030319135002442,0.000513949491200578,2474239,18816,0.021521457560329
conv11, 0.00029664,0.00013283,0.00042947,0.001154285568,0.0044713377792,0.00136155045888,0.000292300905075771,0.000494767923200253,2407039,4704,0.00777424263435602
conv12, 0.00029664,0.00013283,0.00042947,0.001154285568,0.0044713377792,0.00136155045888,0.000292300905075771,0.000494767923200253,2407039,4704,0.00777424263435602
conv13, 0.00029664,0.00013283,0.00042947,0.001154285568,0.0044713377792,0.00136155045888,0.000292300905075771,0.000494767923200253,2407039,4704,0.00777424263435602
fc1, 5.0176e-05,0.000304653,0.000354829,0.0001952448512,0.00075631689728,0.001124915798016,0.00077584255245578,0.0013206222848003,6447871,256,0.00417294238375208
fc2, 8.192e-06,5.7688e-05,6.588e-05,3.18767104e-05,0.00012348030976,0.00020885962752,0.000126733376025441,0.000215737753600056,1052927,256,0.000706687777305497
fc3, 2.048e-06,4.127e-06,6.175e-06,7.9691776e-06,3.087007744e-05,1.95766272e-05,3.13182028821211e-05,5.32805632000046e-05,260159,0,0.000143014648322126
Total,0.007819352,0.002284048,0.0101034,0.0304266625024,0.11786328211456,0.0320308494336,0.00307465073919043,0.00531655106560558,25200782,404768,0.188711995855356
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
rram_apr_2x_bw, 50.535804708815,14.7616073139513,65.2974120227663,49.9838405785083,10.7965841906462,2.82840818611409,63.6088329552686,1.53145426292139,1.57210870493918,2.40761257795494,0.188711995855356
